Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-62.6558	70.7472	27.0172	98.2896
1	0.0839	0.0978	0.2072	0.2440
2	0.0162	0.0224	0.0848	0.0892
3	0.0244	0.0224	0.0625	0.0708
4	0.0410	0.0361	0.0764	0.0940
5	0.0894	0.0501	0.1090	0.1496
6	0.2595	0.1403	0.2425	0.3819
7	0.4184	0.2090	0.3261	0.5702
8	0.1191	0.0560	0.0770	0.1525
9	0.0711	0.0341	0.0497	0.0932
10	0.0479	0.0264	0.0239	0.0596
11	0.0421	0.0224	0.0142	0.0497
12	0.0242	0.0123	0.0103	0.0290
13	0.0865	0.0253	0.0581	0.1072
14	0.0466	0.0184	0.0304	0.0587
15	0.0336	0.0138	0.0246	0.0438
16	0.0225	0.0099	0.0195	0.0313
17	0.0217	0.0053	0.0225	0.0317
18	0.0148	0.0104	0.0423	0.0461
19	0.0739	0.0519	0.0697	0.1141
20	0.0410	0.0059	0.0450	0.0611
21	0.0342	0.0266	0.0246	0.0499
22	0.0103	0.0385	0.0111	0.0414
23	0.0197	0.0186	0.0082	0.0284
24	0.0206	0.0175	0.0159	0.0314
25	0.0075	0.0149	0.0049	0.0174
26	0.0104	0.0254	0.0049	0.0278
27	0.0477	0.0412	0.0312	0.0703
28	0.0480	0.0834	0.0955	0.1355
29	0.0093	0.0100	0.0312	0.0341
30	0.0123	0.0153	0.0229	0.0302
31	0.0064	0.0090	0.0155	0.0190
32	0.0137	0.0166	0.0114	0.0243
33	0.0459	0.0312	0.0475	0.0731
34	0.0638	0.0235	0.0290	0.0740
35	0.0281	0.0127	0.0112	0.0328
36	0.0105	0.0194	0.0093	0.0239
37	0.0098	0.0453	0.0349	0.0580
38	0.0157	0.0075	0.0100	0.0201
39	0.0157	0.0146	0.0065	0.0224
40	0.0174	0.0052	0.0093	0.0204
41	0.0117	0.0050	0.0058	0.0139
42	0.0134	0.0039	0.0049	0.0147
43	0.0164	0.0271	0.0109	0.0335
44	0.0118	0.0053	0.0065	0.0145
45	0.0095	0.0033	0.0027	0.0104
46	0.0150	0.0049	0.0060	0.0169
47	0.0093	0.0023	0.0046	0.0107
48	0.0091	0.0054	0.0016	0.0107
49	0.0077	0.0078	0.0039	0.0116
50	0.0065	0.0036	0.0070	0.0101
51	0.0074	0.0086	0.0060	0.0128
52	0.0044	0.0151	0.0164	0.0227
53	0.0019	0.0107	0.0060	0.0124
54	0.1119	0.0720	0.0565	0.1446
55	0.0112	0.0255	0.0130	0.0307
56	0.0185	0.0880	0.0558	0.1058
57	0.0148	0.0500	0.0303	0.0603
58	0.0173	0.0405	0.0190	0.0480
59	0.0091	0.0264	0.0074	0.0289
60	0.0100	0.0131	0.0055	0.0174
61	0.0078	0.0147	0.0099	0.0193
62	0.0125	0.0149	0.0075	0.0209
63	0.0103	0.0083	0.0014	0.0133
64	0.0112	0.0229	0.0133	0.0287
65	0.0050	0.0265	0.0164	0.0315
66	0.0087	0.0091	0.0042	0.0133
67	0.0568	0.0073	0.0365	0.0679
68	0.0061	0.0086	0.0045	0.0115
69	0.0049	0.0019	0.0021	0.0057
70	0.0081	0.0086	0.0020	0.0119
71	0.0056	0.0029	0.0046	0.0078
72	0.0067	0.0051	0.0088	0.0122
73	0.0056	0.0172	0.0091	0.0203
74	0.0047	0.0315	0.0186	0.0369
75	0.0126	0.0254	0.0083	0.0296
76	0.0054	0.0018	0.0023	0.0061
77	0.0037	0.0029	0.0025	0.0053
78	0.0041	0.0046	0.0008	0.0062
79	0.0081	0.0019	0.0023	0.0086
80	0.0057	0.0032	0.0013	0.0067
81	0.0053	0.0050	0.0035	0.0081
82	0.0077	0.0124	0.0018	0.0147
83	0.0043	0.0061	0.0025	0.0078
84	0.0040	0.0161	0.0148	0.0222
85	0.0061	0.0350	0.0147	0.0384
86	0.0044	0.0356	0.0095	0.0371
87	0.0049	0.0071	0.0054	0.0102
88	0.0047	0.0088	0.0045	0.0109
89	0.0027	0.0058	0.0000	0.0064
90	0.0051	0.0169	0.0017	0.0178
91	0.0035	0.0093	0.0016	0.0100
92	0.0040	0.0144	0.0026	0.0152
93	0.0106	0.0220	0.0124	0.0274
94	0.0053	0.0098	0.0016	0.0112
95	0.0110	0.0208	0.0103	0.0257
96	0.0089	0.0055	0.0041	0.0112
97	0.0107	0.0097	0.0024	0.0147
98	0.0133	0.0040	0.0060	0.0151
99	0.0212	0.0081	0.0082	0.0241
100	0.0572	0.0068	0.0284	0.0642
101	0.0722	0.0171	0.0304	0.0802
102	0.0189	0.0022	0.0071	0.0203
103	0.0136	0.0009	0.0059	0.0148
104	0.0124	0.0128	0.0076	0.0194
105	0.0044	0.0078	0.0018	0.0092
106	0.0070	0.0087	0.0051	0.0122
107	0.0058	0.0028	0.0050	0.0081
108	0.0105	0.0150	0.0083	0.0201
109	0.0084	0.0149	0.0100	0.0198
110	0.0074	0.0159	0.0064	0.0187
111	0.0079	0.0114	0.0054	0.0149
112	0.0019	0.0218	0.0040	0.0222
113	0.0129	0.0488	0.0107	0.0516
114	0.0071	0.0186	0.0021	0.0200
115	0.0051	0.0114	0.0055	0.0136
116	0.0067	0.0076	0.0045	0.0111
117	0.0017	0.0054	0.0041	0.0070
118	0.0069	0.0047	0.0068	0.0107
119	0.0025	0.0068	0.0030	0.0078
120	0.0028	0.0165	0.0047	0.0174
121	0.0058	0.0087	0.0015	0.0106
122	0.0051	0.0044	0.0032	0.0074
123	0.0055	0.0005	0.0042	0.0069
124	0.0039	0.0090	0.0047	0.0109
125	0.0035	0.0112	0.0044	0.0125
126	0.0048	0.0078	0.0034	0.0097
127	0.0039	0.0125	0.0006	0.0131
128	0.0029	0.0047	0.0034	0.0064
129	0.0048	0.0040	0.0045	0.0077
130	0.0022	0.0083	0.0036	0.0093
131	0.0038	0.0065	0.0033	0.0082
132	0.0045	0.0024	0.0027	0.0058
133	0.0038	0.0047	0.0047	0.0077
134	0.0059	0.0052	0.0052	0.0094
135	0.0009	0.0093	0.0052	0.0107
136	0.0050	0.0043	0.0009	0.0066
137	0.0052	0.0091	0.0026	0.0108
138	0.0040	0.0028	0.0030	0.0058
139	0.0024	0.0057	0.0009	0.0063
140	0.0023	0.0042	0.0012	0.0049
141	0.0048	0.0070	0.0025	0.0088
142	0.0024	0.0034	0.0045	0.0062
143	0.0012	0.0051	0.0003	0.0052
144	0.0047	0.0083	0.0016	0.0096
145	0.0034	0.0080	0.0030	0.0092
146	0.0040	0.0061	0.0007	0.0073
147	0.0041	0.0049	0.0037	0.0074
148	0.0063	0.0097	0.0065	0.0133
149	0.0016	0.0024	0.0052	0.0059
150	0.0048	0.0081	0.0009	0.0095
151	0.0062	0.0041	0.0044	0.0086
152	0.0025	0.0024	0.0024	0.0043
153	0.0028	0.0077	0.0021	0.0085
154	0.0014	0.0068	0.0014	0.0071
155	0.0040	0.0042	0.0019	0.0061
156	0.0019	0.0064	0.0015	0.0068
157	0.0006	0.0099	0.0010	0.0099
158	0.0023	0.0051	0.0035	0.0066
159	0.0034	0.0017	0.0014	0.0041
160	0.0020	0.0056	0.0042	0.0073
161	0.0061	0.0059	0.0031	0.0091
162	0.0045	0.0072	0.0077	0.0115
163	0.0046	0.0029	0.0037	0.0066
164	0.0028	0.0034	0.0010	0.0045
165	0.0036	0.0044	0.0027	0.0063
166	0.0032	0.0052	0.0021	0.0065
167	0.0052	0.0050	0.0037	0.0081
168	0.0092	0.0022	0.0038	0.0102
169	0.0034	0.0027	0.0004	0.0043
170	0.0025	0.0036	0.0016	0.0046
171	0.0040	0.0041	0.0011	0.0058
172	0.0056	0.0005	0.0057	0.0080
173	0.0011	0.0075	0.0050	0.0091
174	0.0040	0.0036	0.0025	0.0060
175	0.0028	0.0025	0.0007	0.0038
176	0.0023	0.0050	0.0012	0.0056
177	0.0017	0.0055	0.0021	0.0061
178	0.0029	0.0059	0.0018	0.0068
179	0.0053	0.0043	0.0121	0.0139
180	0.0008	0.0027	0.0031	0.0042
181	0.0040	0.0040	0.0014	0.0058
182	0.0022	0.0031	0.0017	0.0041
183	0.0035	0.0059	0.0038	0.0079
184	0.0047	0.0031	0.0023	0.0060
185	0.0043	0.0062	0.0016	0.0077
186	0.0021	0.0043	0.0028	0.0056
187	0.0031	0.0043	0.0021	0.0057
188	0.0043	0.0052	0.0023	0.0072
189	0.0007	0.0049	0.0035	0.0061
190	0.0017	0.0009	0.0031	0.0036
191	0.0033	0.0043	0.0007	0.0055
192	0.0038	0.0032	0.0040	0.0064
193	0.0089	0.0030	0.0064	0.0114
194	0.0049	0.0069	0.0041	0.0094
195	0.0031	0.0040	0.0036	0.0062
196	0.0053	0.0043	0.0024	0.0072
197	0.0053	0.0055	0.0053	0.0094
198	0.0040	0.0023	0.0032	0.0056
199	0.0040	0.0082	0.0008	0.0092
200	0.0076	0.0021	0.0014	0.0080
201	0.1378	0.0141	0.1104	0.1771
202	0.0093	0.0042	0.0070	0.0124
203	0.0069	0.0043	0.0126	0.0150
204	0.0053	0.0058	0.0074	0.0108
205	0.0045	0.0007	0.0005	0.0045
206	0.0029	0.0041	0.0027	0.0057
207	0.0038	0.0028	0.0033	0.0058
208	0.0039	0.0041	0.0036	0.0067
209	0.0006	0.0049	0.0014	0.0051
210	0.0029	0.0026	0.0010	0.0040
211	0.0058	0.0022	0.0036	0.0072
212	0.0037	0.0046	0.0021	0.0063
213	0.0011	0.0041	0.0009	0.0044
214	0.0032	0.0054	0.0013	0.0064
215	0.0044	0.0021	0.0035	0.0060
216	0.0031	0.0020	0.0013	0.0039
217	0.0034	0.0025	0.0035	0.0055
218	0.0053	0.0043	0.0024	0.0073
219	0.0034	0.0036	0.0016	0.0053
220	0.0010	0.0014	0.0016	0.0024
221	0.0030	0.0013	0.0013	0.0035
222	0.0032	0.0040	0.0001	0.0052
223	0.0025	0.0030	0.0020	0.0044
224	0.0061	0.0100	0.0043	0.0125
225	0.0036	0.0037	0.0024	0.0057
226	0.0049	0.0041	0.0029	0.0070
227	0.0030	0.0029	0.0024	0.0048
228	0.0015	0.0039	0.0024	0.0048
229	0.0013	0.0073	0.0016	0.0076
230	0.0021	0.0056	0.0006	0.0060
231	0.0051	0.0039	0.0023	0.0068
232	0.0011	0.0023	0.0007	0.0027
233	0.0024	0.0018	0.0039	0.0049
234	0.0021	0.0030	0.0021	0.0042
235	0.0051	0.0036	0.0049	0.0080
236	0.0021	0.0015	0.0013	0.0029
237	0.0023	0.0015	0.0016	0.0032
238	0.0025	0.0032	0.0016	0.0044
239	0.0014	0.0010	0.0021	0.0027
240	0.0044	0.0018	0.0029	0.0056
241	0.0037	0.0038	0.0019	0.0057
242	0.0027	0.0008	0.0014	0.0031
243	0.0034	0.0007	0.0041	0.0054
244	0.0012	0.0012	0.0040	0.0043
245	0.0027	0.0015	0.0012	0.0033
246	0.0035	0.0025	0.0010	0.0044
247	0.0028	0.0021	0.0034	0.0049
248	0.0032	0.0025	0.0028	0.0049
249	0.0019	0.0056	0.0013	0.0061
250	0.0046	0.0045	0.0045	0.0079
251	0.0043	0.0038	0.0051	0.0077
252	0.0033	0.0021	0.0035	0.0053
253	0.0019	0.0043	0.0037	0.0060
254	0.0037	0.0033	0.0039	0.0063
255	0.0022	0.0012	0.0041	0.0048
256	0.0013	0.0044	0.0012	0.0048
257	0.0041	0.0064	0.0026	0.0080
258	0.0023	0.0055	0.0027	0.0065
259	0.0029	0.0059	0.0014	0.0067
260	0.0046	0.0022	0.0029	0.0058
261	0.0002	0.0039	0.0015	0.0042
262	0.0016	0.0025	0.0010	0.0031
263	0.0029	0.0014	0.0015	0.0035
264	0.0019	0.0024	0.0015	0.0034
265	0.0010	0.0048	0.0015	0.0051
266	0.0014	0.0017	0.0014	0.0026
267	0.0027	0.0026	0.0030	0.0048
268	0.0044	0.0031	0.0023	0.0058
269	0.0029	0.0028	0.0012	0.0043
270	0.0012	0.0027	0.0002	0.0030
271	0.0022	0.0021	0.0015	0.0033
272	0.0027	0.0045	0.0017	0.0055
273	0.0024	0.0037	0.0021	0.0049
274	0.0014	0.0004	0.0026	0.0029
275	0.0023	0.0013	0.0022	0.0034
276	0.0014	0.0016	0.0035	0.0041
277	0.0034	0.0029	0.0051	0.0068
278	0.0033	0.0042	0.0018	0.0056
279	0.0025	0.0058	0.0021	0.0066
280	0.0027	0.0034	0.0018	0.0047
281	0.0018	0.0012	0.0018	0.0028
282	0.0037	0.0033	0.0024	0.0055
283	0.0010	0.0020	0.0024	0.0033
284	0.0033	0.0029	0.0013	0.0046
285	0.0039	0.0062	0.0033	0.0081
286	0.0028	0.0049	0.0020	0.0060
287	0.0014	0.0047	0.0008	0.0049
288	0.0028	0.0018	0.0046	0.0056
289	0.0029	0.0013	0.0028	0.0043
290	0.0019	0.0004	0.0019	0.0027
291	0.0040	0.0024	0.0012	0.0048
292	0.0035	0.0031	0.0022	0.0052
293	0.0030	0.0011	0.0033	0.0046
294	0.0014	0.0012	0.0046	0.0050
295	0.0016	0.0021	0.0034	0.0043
296	0.0004	0.0043	0.0014	0.0045
297	0.0012	0.0038	0.0053	0.0066
298	0.0012	0.0005	0.0029	0.0032
299	0.0015	0.0044	0.0033	0.0057
300	0.0032	0.0035	0.0037	0.0060
301	0.0078	0.0016	0.0145	0.0165
302	0.0226	0.0027	0.0233	0.0326
303	0.0059	0.0026	0.0062	0.0090
304	0.0058	0.0045	0.0033	0.0080
305	0.0058	0.0017	0.0034	0.0069
306	0.0009	0.0019	0.0008	0.0022
