Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-48.5775	-51.3638	59.9313	92.6811
1	0.0514	0.0542	0.0584	0.0948
2	0.0260	0.0265	0.0419	0.0560
3	0.0218	0.0205	0.0285	0.0414
4	0.0270	0.0168	0.0169	0.0361
5	0.0397	0.0215	0.0213	0.0499
6	0.0855	0.0464	0.0778	0.1246
7	0.1230	0.0420	0.1191	0.1763
8	0.0372	0.0139	0.0389	0.0556
9	0.0140	0.0098	0.0222	0.0280
10	0.0181	0.0074	0.0272	0.0335
11	0.0189	0.0106	0.0170	0.0276
12	0.0101	0.0026	0.0150	0.0183
13	0.0706	0.0162	0.0335	0.0798
14	0.0074	0.0062	0.0131	0.0163
15	0.0064	0.0016	0.0073	0.0099
16	0.0038	0.0222	0.0097	0.0245
17	0.0083	0.0542	0.0123	0.0562
18	0.0103	0.0199	0.0062	0.0232
19	0.0098	0.0090	0.0135	0.0189
20	0.0066	0.0117	0.0008	0.0135
21	0.0095	0.0125	0.0091	0.0182
22	0.0029	0.0062	0.0097	0.0119
23	0.0029	0.0072	0.0089	0.0118
24	0.0053	0.0097	0.0070	0.0131
25	0.0065	0.0029	0.0094	0.0118
26	0.0015	0.0050	0.0046	0.0069
27	0.0086	0.0101	0.0017	0.0134
28	0.0104	0.0160	0.0074	0.0205
29	0.0124	0.0180	0.0136	0.0258
30	0.0035	0.0080	0.0067	0.0110
31	0.0011	0.0036	0.0067	0.0077
32	0.0030	0.0062	0.0095	0.0117
33	0.0034	0.0063	0.0086	0.0112
34	0.0032	0.0058	0.0021	0.0069
35	0.0042	0.0027	0.0042	0.0065
36	0.0037	0.0063	0.0039	0.0083
37	0.0073	0.0128	0.0057	0.0158
38	0.0032	0.0021	0.0029	0.0048
39	0.0012	0.0021	0.0052	0.0057
40	0.0059	0.0018	0.0050	0.0080
41	0.0013	0.0020	0.0044	0.0050
42	0.0029	0.0027	0.0051	0.0065
43	0.0025	0.0040	0.0053	0.0071
44	0.0015	0.0032	0.0023	0.0042
45	0.0011	0.0031	0.0044	0.0055
46	0.0006	0.0028	0.0055	0.0062
47	0.0022	0.0048	0.0041	0.0067
48	0.0039	0.0020	0.0052	0.0068
49	0.0019	0.0014	0.0038	0.0045
50	0.0040	0.0138	0.0044	0.0151
51	0.0007	0.0042	0.0046	0.0063
52	0.0046	0.0026	0.0054	0.0075
53	0.0009	0.0015	0.0033	0.0037
54	0.0035	0.0062	0.0014	0.0073
55	0.0023	0.0062	0.0038	0.0076
56	0.0055	0.0123	0.0012	0.0135
57	0.0082	0.0132	0.0047	0.0162
58	0.0037	0.0045	0.0049	0.0076
59	0.0033	0.0048	0.0030	0.0065
60	0.0025	0.0009	0.0048	0.0054
61	0.0019	0.0022	0.0032	0.0043
62	0.0007	0.0009	0.0054	0.0056
63	0.0010	0.0022	0.0017	0.0029
64	0.0025	0.0006	0.0030	0.0039
65	0.0015	0.0009	0.0023	0.0029
66	0.0004	0.0024	0.0024	0.0034
67	0.0021	0.0013	0.0036	0.0043
