Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
220	0.0020	0.0022	0.0012	0.0033
221	0.0016	0.0032	0.0009	0.0037
222	0.0012	0.0008	0.0029	0.0032
223	0.0053	0.0056	0.0045	0.0089
224	0.0011	0.0015	0.0010	0.0021
225	0.0027	0.0011	0.0019	0.0035
226	0.0048	0.0031	0.0021	0.0061
227	0.0006	0.0002	0.0018	0.0019
228	0.0040	0.0037	0.0013	0.0056
229	0.0040	0.0023	0.0014	0.0048
230	0.0027	0.0019	0.0006	0.0033
231	0.0048	0.0024	0.0010	0.0055
232	0.0027	0.0022	0.0021	0.0040
233	0.0014	0.0012	0.0008	0.0020
234	0.0026	0.0036	0.0018	0.0047
235	0.0010	0.0004	0.0009	0.0014
236	0.0019	0.0019	0.0009	0.0028
237	0.0013	0.0023	0.0012	0.0029
238	0.0012	0.0019	0.0014	0.0026
239	0.0016	0.0010	0.0010	0.0022
240	0.0017	0.0013	0.0010	0.0024
241	0.0013	0.0024	0.0013	0.0030
242	0.0037	0.0018	0.0018	0.0045
243	0.0003	0.0011	0.0032	0.0034
244	0.0024	0.0011	0.0024	0.0036
245	0.0017	0.0006	0.0022	0.0029
246	0.0005	0.0006	0.0006	0.0010
247	0.0019	0.0009	0.0018	0.0027
248	0.0026	0.0022	0.0025	0.0042
249	0.0003	0.0038	0.0021	0.0044
250	0.0024	0.0023	0.0019	0.0038
251	0.0021	0.0020	0.0009	0.0030
252	0.0018	0.0012	0.0002	0.0022
253	0.0026	0.0010	0.0004	0.0028
254	0.0024	0.0018	0.0025	0.0039
255	0.0026	0.0012	0.0012	0.0031
256	0.0018	0.0008	0.0011	0.0022
257	0.0028	0.0008	0.0004	0.0029
258	0.0016	0.0031	0.0003	0.0035
259	0.0025	0.0023	0.0018	0.0039
260	0.0029	0.0022	0.0013	0.0039
261	0.0008	0.0012	0.0013	0.0019
262	0.0019	0.0029	0.0006	0.0035
263	0.0015	0.0025	0.0009	0.0030
264	0.0016	0.0024	0.0009	0.0030
265	0.0023	0.0022	0.0017	0.0036
266	0.0026	0.0010	0.0012	0.0031
267	0.0008	0.0021	0.0007	0.0024
268	0.0008	0.0017	0.0008	0.0020
269	0.0033	0.0017	0.0010	0.0038
270	0.0009	0.0029	0.0015	0.0034
271	0.0019	0.0013	0.0007	0.0024
272	0.0003	0.0006	0.0010	0.0012
273	0.0018	0.0025	0.0007	0.0032
274	0.0014	0.0013	0.0009	0.0021
275	0.0022	0.0033	0.0011	0.0041
276	0.0012	0.0029	0.0013	0.0034
277	0.0011	0.0026	0.0010	0.0030
278	0.0028	0.0027	0.0005	0.0039
279	0.0026	0.0017	0.0006	0.0032
280	0.0033	0.0009	0.0001	0.0034
281	0.0019	0.0009	0.0023	0.0031
282	0.0014	0.0008	0.0014	0.0021
283	0.0011	0.0021	0.0010	0.0026
284	0.0008	0.0008	0.0024	0.0027
285	0.0027	0.0030	0.0005	0.0040
286	0.0014	0.0007	0.0013	0.0021
287	0.0013	0.0022	0.0007	0.0026
288	0.0031	0.0060	0.0017	0.0069
289	0.0017	0.0030	0.0013	0.0037
290	0.0020	0.0010	0.0012	0.0025
291	0.0011	0.0029	0.0017	0.0036
292	0.0028	0.0041	0.0014	0.0051
293	0.0024	0.0040	0.0006	0.0047
294	0.0020	0.0039	0.0005	0.0044
295	0.0021	0.0021	0.0010	0.0031
296	0.0051	0.0047	0.0023	0.0073
297	0.0014	0.0028	0.0007	0.0032
298	0.0017	0.0003	0.0005	0.0018
299	0.0001	0.0017	0.0012	0.0021
300	0.0049	0.0041	0.0007	0.0064
301	0.0051	0.0058	0.0003	0.0077
302	0.0025	0.0040	0.0016	0.0050
303	0.0012	0.0023	0.0012	0.0029
304	0.0005	0.0004	0.0010	0.0012
305	0.0019	0.0031	0.0014	0.0039
306	0.0012	0.0003	0.0008	0.0015
307	0.0010	0.0011	0.0016	0.0022
308	0.0037	0.0012	0.0009	0.0040
309	0.0025	0.0034	0.0008	0.0043
310	0.0008	0.0006	0.0005	0.0012
311	0.0019	0.0023	0.0014	0.0033
312	0.0041	0.0034	0.0008	0.0054
313	0.0015	0.0001	0.0004	0.0015
314	0.0009	0.0027	0.0018	0.0033
315	0.0018	0.0011	0.0022	0.0030
316	0.0015	0.0017	0.0005	0.0023
317	0.0012	0.0019	0.0022	0.0031
318	0.0009	0.0008	0.0015	0.0020
319	0.0007	0.0005	0.0015	0.0018
320	0.0020	0.0013	0.0011	0.0026
321	0.0016	0.0008	0.0008	0.0019
322	0.0016	0.0010	0.0029	0.0035
323	0.0008	0.0009	0.0017	0.0021
324	0.0007	0.0012	0.0008	0.0016
325	0.0008	0.0019	0.0013	0.0024
326	0.0029	0.0011	0.0010	0.0032
327	0.0028	0.0020	0.0013	0.0037
328	0.0015	0.0013	0.0010	0.0022
329	0.0011	0.0019	0.0005	0.0022
330	0.0002	0.0016	0.0008	0.0018
331	0.0010	0.0017	0.0010	0.0022
332	0.0009	0.0008	0.0008	0.0014
333	0.0029	0.0030	0.0050	0.0065
334	0.0031	0.0006	0.0023	0.0039
335	0.0016	0.0026	0.0015	0.0034
336	0.0013	0.0028	0.0004	0.0031
337	0.0009	0.0026	0.0027	0.0038
338	0.0020	0.0034	0.0016	0.0042
339	0.0021	0.0012	0.0012	0.0027
340	0.0030	0.0009	0.0006	0.0032
341	0.0029	0.0004	0.0015	0.0033
342	0.0014	0.0011	0.0010	0.0021
343	0.0022	0.0016	0.0009	0.0029
344	0.0026	0.0028	0.0019	0.0043
345	0.0015	0.0012	0.0005	0.0020
346	0.0002	0.0010	0.0013	0.0017
347	0.0011	0.0009	0.0010	0.0018
348	0.0017	0.0018	0.0014	0.0029
349	0.0024	0.0015	0.0005	0.0028
350	0.0028	0.0021	0.0004	0.0036
351	0.0015	0.0012	0.0010	0.0021
352	0.0021	0.0017	0.0005	0.0027
353	0.0012	0.0014	0.0010	0.0021
354	0.0014	0.0019	0.0020	0.0031
355	0.0012	0.0017	0.0010	0.0023
356	0.0012	0.0023	0.0008	0.0027
357	0.0011	0.0009	0.0007	0.0016
358	0.0007	0.0006	0.0008	0.0012
359	0.0021	0.0018	0.0002	0.0028
360	0.0039	0.0016	0.0011	0.0043
361	0.0017	0.0019	0.0004	0.0026
362	0.0004	0.0010	0.0014	0.0017
363	0.0020	0.0013	0.0008	0.0025
364	0.0015	0.0032	0.0008	0.0036
365	0.0007	0.0008	0.0016	0.0019
366	0.0021	0.0016	0.0007	0.0028
367	0.0003	0.0005	0.0011	0.0012
368	0.0027	0.0017	0.0005	0.0032
369	0.0010	0.0025	0.0007	0.0027
370	0.0021	0.0005	0.0008	0.0023
371	0.0014	0.0009	0.0012	0.0020
372	0.0017	0.0013	0.0018	0.0028
373	0.0011	0.0017	0.0013	0.0024
374	0.0014	0.0006	0.0013	0.0020
375	0.0010	0.0014	0.0016	0.0024
376	0.0024	0.0017	0.0016	0.0033
377	0.0015	0.0024	0.0006	0.0029
378	0.0007	0.0019	0.0008	0.0022
379	0.0017	0.0007	0.0014	0.0023
380	0.0016	0.0008	0.0009	0.0020
381	0.0015	0.0009	0.0012	0.0021
382	0.0016	0.0005	0.0030	0.0034
383	0.0013	0.0005	0.0012	0.0019
384	0.0011	0.0015	0.0010	0.0021
385	0.0011	0.0013	0.0014	0.0022
386	0.0017	0.0023	0.0006	0.0029
387	0.0029	0.0005	0.0014	0.0033
388	0.0015	0.0014	0.0009	0.0022
389	0.0009	0.0009	0.0013	0.0018
390	0.0015	0.0011	0.0009	0.0021
391	0.0022	0.0019	0.0022	0.0037
392	0.0009	0.0013	0.0009	0.0019
393	0.0015	0.0023	0.0018	0.0033
394	0.0021	0.0022	0.0006	0.0031
395	0.0025	0.0044	0.0003	0.0051
396	0.0007	0.0026	0.0001	0.0027
397	0.0009	0.0022	0.0011	0.0026
398	0.0011	0.0012	0.0016	0.0023
399	0.0004	0.0022	0.0025	0.0034
400	0.0006	0.0013	0.0009	0.0017
401	0.0016	0.0027	0.0007	0.0032
402	0.0166	0.0277	0.0042	0.0326
403	0.0020	0.0018	0.0010	0.0029
404	0.0009	0.0017	0.0007	0.0021
405	0.0020	0.0033	0.0012	0.0040
406	0.0023	0.0015	0.0009	0.0028
407	0.0010	0.0016	0.0010	0.0021
408	0.0024	0.0012	0.0013	0.0029
409	0.0016	0.0018	0.0008	0.0025
410	0.0012	0.0019	0.0017	0.0028
411	0.0020	0.0010	0.0006	0.0023
412	0.0011	0.0018	0.0005	0.0022
413	0.0014	0.0015	0.0007	0.0022
414	0.0017	0.0024	0.0007	0.0030
415	0.0015	0.0005	0.0014	0.0021
416	0.0017	0.0005	0.0011	0.0021
417	0.0007	0.0014	0.0007	0.0017
418	0.0018	0.0020	0.0015	0.0031
419	0.0012	0.0003	0.0007	0.0014
420	0.0010	0.0012	0.0022	0.0026
421	0.0020	0.0011	0.0010	0.0025
422	0.0012	0.0011	0.0005	0.0017
423	0.0014	0.0024	0.0005	0.0028
424	0.0021	0.0013	0.0020	0.0032
425	0.0012	0.0011	0.0017	0.0024
426	0.0028	0.0014	0.0006	0.0032
427	0.0011	0.0021	0.0006	0.0024
428	0.0020	0.0030	0.0013	0.0038
429	0.0024	0.0004	0.0008	0.0026
430	0.0007	0.0012	0.0019	0.0023
431	0.0007	0.0012	0.0012	0.0018
432	0.0033	0.0010	0.0004	0.0035
433	0.0019	0.0013	0.0009	0.0025
434	0.0014	0.0016	0.0004	0.0022
435	0.0019	0.0017	0.0006	0.0026
436	0.0024	0.0009	0.0005	0.0026
437	0.0008	0.0006	0.0001	0.0010
438	0.0010	0.0006	0.0019	0.0022
439	0.0010	0.0012	0.0004	0.0016
440	0.0022	0.0005	0.0013	0.0026
441	0.0012	0.0004	0.0008	0.0015
442	0.0022	0.0013	0.0007	0.0027
443	0.0011	0.0019	0.0012	0.0025
444	0.0016	0.0008	0.0025	0.0030
445	0.0007	0.0005	0.0004	0.0010
446	0.0011	0.0020	0.0014	0.0027
447	0.0019	0.0012	0.0016	0.0027
448	0.0016	0.0013	0.0004	0.0021
449	0.0016	0.0019	0.0003	0.0025
450	0.0019	0.0012	0.0017	0.0028
451	0.0023	0.0009	0.0012	0.0027
452	0.0022	0.0010	0.0012	0.0027
453	0.0020	0.0006	0.0009	0.0023
454	0.0018	0.0001	0.0010	0.0021
455	0.0009	0.0008	0.0010	0.0016
456	0.0013	0.0015	0.0021	0.0029
457	0.0023	0.0007	0.0008	0.0025
458	0.0008	0.0009	0.0016	0.0020
459	0.0020	0.0024	0.0002	0.0031
460	0.0008	0.0013	0.0007	0.0017
461	0.0004	0.0020	0.0015	0.0025
462	0.0017	0.0001	0.0004	0.0017
463	0.0013	0.0008	0.0023	0.0027
464	0.0010	0.0010	0.0001	0.0014
465	0.0018	0.0013	0.0010	0.0024
466	0.0016	0.0011	0.0008	0.0021
467	0.0008	0.0007	0.0008	0.0013
468	0.0007	0.0032	0.0009	0.0033
469	0.0017	0.0019	0.0005	0.0026
470	0.0011	0.0007	0.0011	0.0017
471	0.0006	0.0002	0.0010	0.0012
472	0.0012	0.0010	0.0020	0.0025
473	0.0011	0.0015	0.0013	0.0023
474	0.0012	0.0013	0.0010	0.0020
475	0.0001	0.0007	0.0008	0.0011
476	0.0008	0.0004	0.0008	0.0012
477	0.0010	0.0007	0.0003	0.0013
478	0.0014	0.0024	0.0004	0.0028
479	0.0015	0.0020	0.0014	0.0029
480	0.0024	0.0016	0.0007	0.0030
481	0.0013	0.0007	0.0012	0.0019
482	0.0011	0.0008	0.0015	0.0021
483	0.0013	0.0012	0.0011	0.0021
484	0.0013	0.0007	0.0010	0.0018
485	0.0006	0.0016	0.0010	0.0020
486	0.0013	0.0028	0.0025	0.0040
487	0.0011	0.0004	0.0009	0.0015
488	0.0016	0.0013	0.0011	0.0024
489	0.0022	0.0006	0.0015	0.0028
490	0.0010	0.0011	0.0011	0.0019
491	0.0024	0.0019	0.0009	0.0032
492	0.0018	0.0016	0.0009	0.0026
493	0.0012	0.0017	0.0007	0.0022
494	0.0012	0.0020	0.0013	0.0027
495	0.0027	0.0035	0.0010	0.0046
496	0.0013	0.0023	0.0012	0.0029
497	0.0017	0.0015	0.0009	0.0025
498	0.0013	0.0003	0.0018	0.0023
499	0.0010	0.0003	0.0017	0.0020
500	0.0025	0.0020	0.0008	0.0033
