Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0018	0.0004	0.0034	0.0039
144	0.0042	0.0013	0.0012	0.0046
145	0.0013	0.0019	0.0029	0.0037
146	0.0034	0.0016	0.0023	0.0044
147	0.0015	0.0011	0.0010	0.0021
148	0.0015	0.0015	0.0010	0.0023
149	0.0023	0.0010	0.0017	0.0030
150	0.0042	0.0123	0.0060	0.0143
151	0.0026	0.0007	0.0015	0.0031
152	0.0038	0.0011	0.0013	0.0042
153	0.0023	0.0018	0.0011	0.0031
154	0.0027	0.0022	0.0006	0.0036
155	0.0018	0.0013	0.0023	0.0032
156	0.0025	0.0012	0.0031	0.0041
157	0.0022	0.0014	0.0009	0.0028
158	0.0009	0.0006	0.0012	0.0016
159	0.0021	0.0007	0.0017	0.0028
160	0.0020	0.0013	0.0009	0.0025
161	0.0047	0.0028	0.0011	0.0055
162	0.0030	0.0017	0.0005	0.0035
163	0.0037	0.0017	0.0032	0.0052
164	0.0022	0.0005	0.0018	0.0029
165	0.0026	0.0001	0.0011	0.0028
166	0.0021	0.0012	0.0033	0.0041
167	0.0003	0.0014	0.0016	0.0022
168	0.0030	0.0005	0.0012	0.0033
169	0.0022	0.0018	0.0013	0.0031
170	0.0025	0.0011	0.0027	0.0039
171	0.0009	0.0021	0.0015	0.0028
172	0.0021	0.0019	0.0014	0.0032
173	0.0007	0.0016	0.0012	0.0021
174	0.0021	0.0015	0.0004	0.0026
175	0.0006	0.0015	0.0006	0.0018
176	0.0021	0.0020	0.0010	0.0031
177	0.0026	0.0013	0.0019	0.0035
178	0.0022	0.0005	0.0004	0.0023
179	0.0007	0.0032	0.0003	0.0033
180	0.0001	0.0028	0.0017	0.0033
181	0.0011	0.0011	0.0007	0.0017
182	0.0003	0.0044	0.0015	0.0047
183	0.0009	0.0011	0.0006	0.0016
184	0.0023	0.0024	0.0011	0.0035
185	0.0033	0.0027	0.0005	0.0042
186	0.0030	0.0009	0.0004	0.0032
187	0.0011	0.0015	0.0015	0.0024
188	0.0009	0.0008	0.0009	0.0015
189	0.0019	0.0024	0.0007	0.0031
190	0.0028	0.0007	0.0020	0.0036
191	0.0009	0.0012	0.0023	0.0028
192	0.0019	0.0008	0.0002	0.0021
193	0.0021	0.0009	0.0012	0.0026
194	0.0017	0.0033	0.0020	0.0042
195	0.0028	0.0002	0.0015	0.0032
196	0.0017	0.0017	0.0020	0.0032
197	0.0015	0.0021	0.0019	0.0032
198	0.0025	0.0010	0.0026	0.0038
199	0.0004	0.0008	0.0034	0.0035
200	0.0024	0.0015	0.0015	0.0032
201	0.0009	0.0006	0.0013	0.0017
202	0.0006	0.0010	0.0023	0.0025
203	0.0010	0.0011	0.0015	0.0021
204	0.0021	0.0003	0.0007	0.0023
205	0.0005	0.0016	0.0002	0.0017
206	0.0028	0.0014	0.0006	0.0032
207	0.0005	0.0017	0.0012	0.0021
208	0.0024	0.0020	0.0017	0.0035
209	0.0013	0.0017	0.0009	0.0023
210	0.0015	0.0020	0.0024	0.0034
211	0.0014	0.0025	0.0015	0.0032
212	0.0024	0.0008	0.0008	0.0027
213	0.0013	0.0005	0.0018	0.0023
214	0.0028	0.0010	0.0015	0.0033
215	0.0013	0.0012	0.0012	0.0021
216	0.0017	0.0025	0.0016	0.0034
217	0.0008	0.0021	0.0018	0.0029
218	0.0007	0.0014	0.0025	0.0030
219	0.0009	0.0010	0.0010	0.0017
220	0.0008	0.0009	0.0015	0.0019
221	0.0019	0.0015	0.0010	0.0026
222	0.0016	0.0017	0.0011	0.0025
223	0.0014	0.0013	0.0009	0.0021
224	0.0010	0.0004	0.0007	0.0013
225	0.0027	0.0020	0.0011	0.0035
226	0.0008	0.0007	0.0001	0.0011
227	0.0016	0.0009	0.0024	0.0030
228	0.0010	0.0009	0.0004	0.0014
229	0.0019	0.0023	0.0007	0.0031
230	0.0012	0.0006	0.0021	0.0025
231	0.0012	0.0015	0.0021	0.0028
232	0.0011	0.0005	0.0023	0.0026
233	0.0028	0.0014	0.0004	0.0032
234	0.0008	0.0004	0.0036	0.0038
235	0.0025	0.0006	0.0012	0.0028
236	0.0012	0.0020	0.0008	0.0024
237	0.0011	0.0019	0.0009	0.0023
238	0.0022	0.0005	0.0013	0.0026
239	0.0025	0.0006	0.0006	0.0026
240	0.0025	0.0016	0.0027	0.0040
241	0.0008	0.0018	0.0017	0.0026
242	0.0034	0.0010	0.0005	0.0036
243	0.0024	0.0003	0.0008	0.0026
