Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-45.7836	-46.9746	59.9479	88.8623
1	0.3221	0.3512	0.3481	0.5902
2	0.2374	0.1993	0.1581	0.3479
3	0.1075	0.0883	0.0857	0.1634
4	0.2309	0.1064	0.0646	0.2623
5	0.0774	0.0498	0.0242	0.0952
6	0.0455	0.0453	0.0537	0.0837
7	0.0371	0.0421	0.0341	0.0656
8	0.0726	0.0160	0.0397	0.0843
9	0.0353	0.0239	0.0329	0.0538
10	0.0283	0.0288	0.0218	0.0459
11	0.0291	0.0174	0.0169	0.0379
12	0.0126	0.0202	0.0266	0.0357
13	0.0192	0.0198	0.0230	0.0359
14	0.0162	0.0238	0.0170	0.0334
15	0.0266	0.0195	0.0166	0.0369
16	0.0138	0.0151	0.0100	0.0228
17	0.0254	0.0084	0.0128	0.0297
18	0.0287	0.0301	0.0229	0.0475
19	0.0216	0.0132	0.0162	0.0300
20	0.0130	0.0117	0.0112	0.0208
21	0.0115	0.0063	0.0110	0.0171
22	0.0170	0.0207	0.0153	0.0308
23	0.0149	0.0148	0.0140	0.0253
24	0.0126	0.0139	0.0142	0.0235
25	0.0113	0.0111	0.0122	0.0200
26	0.0141	0.0130	0.0111	0.0222
27	0.0108	0.0126	0.0085	0.0186
28	0.0108	0.0172	0.0116	0.0234
29	0.0106	0.0152	0.0077	0.0201
30	0.0074	0.0091	0.0054	0.0129
31	0.0101	0.0066	0.0078	0.0144
32	0.0101	0.0065	0.0048	0.0130
33	0.0119	0.0080	0.0090	0.0169
34	0.0066	0.0021	0.0056	0.0089
35	0.0094	0.0061	0.0121	0.0165
36	0.0084	0.0134	0.0068	0.0172
37	0.0077	0.0053	0.0066	0.0114
38	0.0106	0.0038	0.0057	0.0126
39	0.0057	0.0063	0.0071	0.0110
40	0.0070	0.0101	0.0029	0.0126
41	0.0079	0.0066	0.0041	0.0111
42	0.0096	0.0064	0.0070	0.0135
43	0.0081	0.0051	0.0046	0.0106
44	0.0055	0.0044	0.0080	0.0107
45	0.0070	0.0089	0.0039	0.0120
46	0.0041	0.0036	0.0005	0.0055
47	0.0074	0.0069	0.0042	0.0109
48	0.0107	0.0068	0.0047	0.0135
49	0.0095	0.0089	0.0068	0.0147
50	0.0035	0.0364	0.0062	0.0371
51	0.0100	0.0078	0.0025	0.0129
52	0.0080	0.0113	0.0039	0.0144
53	0.0085	0.0053	0.0033	0.0106
54	0.0134	0.0178	0.0097	0.0243
55	0.0071	0.0053	0.0065	0.0110
56	0.0028	0.0042	0.0029	0.0058
57	0.0079	0.0100	0.0045	0.0135
58	0.0041	0.0089	0.0050	0.0110
59	0.0045	0.0037	0.0042	0.0072
60	0.0030	0.0038	0.0046	0.0067
61	0.0044	0.0023	0.0038	0.0063
62	0.0073	0.0058	0.0044	0.0103
63	0.0046	0.0060	0.0052	0.0092
64	0.0032	0.0037	0.0034	0.0059
65	0.0036	0.0050	0.0023	0.0066
66	0.0048	0.0039	0.0025	0.0067
67	0.0028	0.0022	0.0033	0.0048
68	0.0008	0.0033	0.0050	0.0061
69	0.0069	0.0023	0.0033	0.0079
70	0.0067	0.0025	0.0028	0.0077
71	0.0026	0.0044	0.0038	0.0064
72	0.0018	0.0056	0.0036	0.0069
73	0.0047	0.0050	0.0034	0.0077
74	0.0015	0.0024	0.0007	0.0029
75	0.0030	0.0023	0.0053	0.0065
76	0.0051	0.0027	0.0024	0.0063
77	0.0013	0.0033	0.0016	0.0039
78	0.0030	0.0037	0.0031	0.0057
79	0.0026	0.0021	0.0025	0.0042
80	0.0024	0.0011	0.0010	0.0028
81	0.0048	0.0033	0.0040	0.0071
82	0.0031	0.0038	0.0020	0.0053
83	0.0026	0.0033	0.0027	0.0050
84	0.0038	0.0003	0.0032	0.0050
85	0.0064	0.0032	0.0021	0.0075
86	0.0030	0.0031	0.0021	0.0048
87	0.0042	0.0046	0.0015	0.0065
88	0.0041	0.0035	0.0024	0.0059
89	0.0029	0.0040	0.0054	0.0073
90	0.0036	0.0044	0.0034	0.0066
91	0.0020	0.0017	0.0031	0.0041
92	0.0050	0.0018	0.0021	0.0058
93	0.0023	0.0032	0.0017	0.0043
94	0.0037	0.0026	0.0030	0.0055
95	0.0024	0.0014	0.0022	0.0035
96	0.0034	0.0043	0.0006	0.0056
97	0.0035	0.0008	0.0012	0.0038
98	0.0025	0.0024	0.0003	0.0034
99	0.0042	0.0046	0.0027	0.0068
100	0.0034	0.0028	0.0036	0.0057
101	0.0032	0.0034	0.0060	0.0076
102	0.0023	0.0033	0.0040	0.0057
103	0.0016	0.0020	0.0013	0.0028
104	0.0024	0.0044	0.0018	0.0054
105	0.0025	0.0032	0.0012	0.0043
106	0.0061	0.0020	0.0027	0.0070
107	0.0018	0.0028	0.0011	0.0035
108	0.0017	0.0035	0.0034	0.0052
109	0.0012	0.0023	0.0036	0.0045
110	0.0037	0.0050	0.0031	0.0069
111	0.0024	0.0018	0.0025	0.0039
112	0.0021	0.0009	0.0005	0.0024
113	0.0032	0.0023	0.0016	0.0042
114	0.0023	0.0008	0.0015	0.0029
115	0.0010	0.0006	0.0006	0.0013
116	0.0021	0.0024	0.0017	0.0037
117	0.0016	0.0015	0.0029	0.0037
118	0.0014	0.0020	0.0032	0.0040
119	0.0033	0.0030	0.0009	0.0045
120	0.0017	0.0029	0.0011	0.0035
121	0.0028	0.0028	0.0029	0.0049
122	0.0032	0.0031	0.0030	0.0054
123	0.0023	0.0037	0.0011	0.0045
124	0.0031	0.0018	0.0010	0.0037
125	0.0024	0.0033	0.0020	0.0046
126	0.0037	0.0014	0.0006	0.0040
127	0.0039	0.0011	0.0015	0.0043
128	0.0014	0.0012	0.0009	0.0021
129	0.0013	0.0028	0.0023	0.0038
130	0.0020	0.0011	0.0015	0.0028
131	0.0023	0.0025	0.0012	0.0036
132	0.0016	0.0028	0.0005	0.0033
133	0.0014	0.0005	0.0032	0.0035
134	0.0026	0.0015	0.0011	0.0032
135	0.0023	0.0021	0.0005	0.0032
136	0.0035	0.0042	0.0032	0.0064
137	0.0021	0.0008	0.0018	0.0028
138	0.0051	0.0017	0.0028	0.0060
139	0.0005	0.0032	0.0026	0.0042
140	0.0026	0.0013	0.0038	0.0048
141	0.0045	0.0031	0.0015	0.0057
142	0.0020	0.0009	0.0015	0.0027
143	0.0025	0.0008	0.0022	0.0034
144	0.0033	0.0006	0.0013	0.0036
145	0.0037	0.0045	0.0019	0.0061
146	0.0015	0.0020	0.0009	0.0026
147	0.0029	0.0027	0.0014	0.0042
148	0.0018	0.0017	0.0009	0.0027
149	0.0026	0.0041	0.0034	0.0060
150	0.0036	0.0096	0.0007	0.0103
151	0.0017	0.0004	0.0032	0.0037
152	0.0007	0.0017	0.0010	0.0021
153	0.0024	0.0012	0.0006	0.0028
154	0.0008	0.0023	0.0018	0.0030
155	0.0005	0.0009	0.0016	0.0020
156	0.0016	0.0023	0.0027	0.0039
157	0.0039	0.0034	0.0008	0.0052
158	0.0019	0.0033	0.0034	0.0051
159	0.0015	0.0016	0.0023	0.0032
160	0.0037	0.0028	0.0024	0.0052
161	0.0034	0.0017	0.0019	0.0042
162	0.0026	0.0003	0.0019	0.0033
163	0.0021	0.0019	0.0027	0.0039
164	0.0009	0.0017	0.0003	0.0019
165	0.0008	0.0016	0.0020	0.0027
166	0.0035	0.0020	0.0030	0.0050
167	0.0017	0.0033	0.0007	0.0038
168	0.0033	0.0017	0.0010	0.0038
169	0.0016	0.0027	0.0018	0.0036
170	0.0023	0.0023	0.0029	0.0044
171	0.0024	0.0022	0.0016	0.0036
172	0.0027	0.0024	0.0009	0.0037
173	0.0022	0.0004	0.0034	0.0040
174	0.0039	0.0011	0.0019	0.0045
175	0.0022	0.0010	0.0032	0.0039
176	0.0016	0.0014	0.0025	0.0033
177	0.0018	0.0029	0.0013	0.0036
178	0.0023	0.0013	0.0030	0.0040
179	0.0005	0.0022	0.0009	0.0024
180	0.0033	0.0015	0.0037	0.0051
181	0.0018	0.0018	0.0017	0.0031
182	0.0009	0.0016	0.0016	0.0024
183	0.0015	0.0013	0.0019	0.0027
184	0.0032	0.0002	0.0020	0.0038
185	0.0019	0.0015	0.0007	0.0025
186	0.0014	0.0023	0.0009	0.0028
187	0.0014	0.0006	0.0018	0.0024
188	0.0023	0.0011	0.0012	0.0028
189	0.0006	0.0015	0.0016	0.0023
190	0.0010	0.0013	0.0022	0.0028
191	0.0031	0.0021	0.0019	0.0042
192	0.0011	0.0007	0.0004	0.0014
193	0.0033	0.0004	0.0008	0.0035
194	0.0028	0.0019	0.0016	0.0037
195	0.0017	0.0024	0.0017	0.0034
196	0.0017	0.0033	0.0004	0.0037
197	0.0037	0.0033	0.0011	0.0051
198	0.0009	0.0024	0.0016	0.0030
199	0.0018	0.0011	0.0029	0.0035
200	0.0013	0.0012	0.0008	0.0020
201	0.0043	0.0017	0.0022	0.0051
202	0.0027	0.0023	0.0027	0.0044
203	0.0024	0.0016	0.0020	0.0035
204	0.0028	0.0019	0.0016	0.0037
205	0.0011	0.0022	0.0010	0.0026
206	0.0013	0.0027	0.0021	0.0037
207	0.0004	0.0007	0.0020	0.0021
208	0.0013	0.0017	0.0030	0.0037
209	0.0020	0.0031	0.0013	0.0039
210	0.0006	0.0016	0.0016	0.0023
211	0.0018	0.0008	0.0009	0.0022
212	0.0014	0.0007	0.0009	0.0018
213	0.0029	0.0013	0.0014	0.0035
214	0.0009	0.0023	0.0015	0.0029
215	0.0019	0.0018	0.0009	0.0027
216	0.0025	0.0017	0.0020	0.0036
217	0.0027	0.0017	0.0003	0.0032
218	0.0021	0.0014	0.0006	0.0026
219	0.0020	0.0008	0.0005	0.0023
220	0.0014	0.0007	0.0011	0.0019
221	0.0018	0.0035	0.0008	0.0041
222	0.0031	0.0017	0.0007	0.0036
223	0.0018	0.0004	0.0017	0.0025
224	0.0021	0.0013	0.0017	0.0030
225	0.0030	0.0011	0.0012	0.0035
226	0.0008	0.0025	0.0009	0.0028
227	0.0024	0.0013	0.0023	0.0036
228	0.0006	0.0005	0.0019	0.0021
229	0.0021	0.0009	0.0003	0.0023
230	0.0032	0.0014	0.0018	0.0039
231	0.0052	0.0011	0.0021	0.0057
232	0.0012	0.0005	0.0019	0.0023
