Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0056	0.0099	0.0020	0.0116
144	0.0087	0.0116	0.0065	0.0158
145	0.0051	0.0041	0.0026	0.0070
146	0.0072	0.0124	0.0036	0.0148
147	0.0020	0.0010	0.0062	0.0066
148	0.0074	0.0101	0.0030	0.0128
149	0.0048	0.0075	0.0010	0.0090
150	0.0064	0.0051	0.0043	0.0093
151	0.0025	0.0042	0.0026	0.0056
152	0.0026	0.0099	0.0065	0.0121
153	0.0028	0.0041	0.0028	0.0057
154	0.0069	0.0095	0.0075	0.0140
155	0.0040	0.0015	0.0026	0.0050
156	0.0054	0.0023	0.0040	0.0071
157	0.0032	0.0041	0.0043	0.0067
158	0.0034	0.0045	0.0025	0.0061
159	0.0026	0.0019	0.0036	0.0048
160	0.0065	0.0057	0.0014	0.0088
161	0.0043	0.0045	0.0035	0.0071
162	0.0050	0.0025	0.0105	0.0119
163	0.0066	0.0031	0.0043	0.0084
164	0.0041	0.0031	0.0032	0.0061
165	0.0085	0.0048	0.0023	0.0101
166	0.0048	0.0033	0.0048	0.0076
167	0.0108	0.0077	0.0055	0.0143
168	0.0093	0.0050	0.0037	0.0112
169	0.0035	0.0089	0.0042	0.0104
170	0.0039	0.0028	0.0020	0.0052
171	0.0021	0.0049	0.0027	0.0060
172	0.0010	0.0053	0.0066	0.0086
173	0.0081	0.0033	0.0033	0.0094
174	0.0074	0.0030	0.0009	0.0080
175	0.0047	0.0007	0.0019	0.0051
176	0.0039	0.0060	0.0059	0.0093
177	0.0030	0.0008	0.0032	0.0045
178	0.0044	0.0025	0.0018	0.0054
179	0.0016	0.0026	0.0002	0.0031
180	0.0042	0.0034	0.0044	0.0070
181	0.0040	0.0006	0.0016	0.0043
182	0.0080	0.0043	0.0039	0.0099
183	0.0074	0.0050	0.0050	0.0102
184	0.0048	0.0047	0.0017	0.0069
185	0.0064	0.0025	0.0031	0.0076
186	0.0033	0.0046	0.0018	0.0060
187	0.0038	0.0013	0.0033	0.0052
188	0.0046	0.0036	0.0020	0.0062
189	0.0010	0.0061	0.0031	0.0070
190	0.0044	0.0021	0.0034	0.0059
191	0.0052	0.0011	0.0022	0.0058
192	0.0104	0.0035	0.0082	0.0137
193	0.0122	0.0017	0.0092	0.0154
194	0.0051	0.0059	0.0011	0.0079
195	0.0055	0.0020	0.0037	0.0069
196	0.0051	0.0025	0.0057	0.0081
197	0.0053	0.0007	0.0027	0.0059
198	0.0112	0.0066	0.0056	0.0141
199	0.0084	0.0086	0.0026	0.0123
200	0.0171	0.0048	0.0073	0.0192
201	0.0950	0.0142	0.0639	0.1154
202	0.0068	0.0058	0.0061	0.0108
203	0.0069	0.0050	0.0030	0.0090
204	0.0043	0.0018	0.0064	0.0079
205	0.0019	0.0029	0.0021	0.0041
206	0.0041	0.0049	0.0019	0.0067
207	0.0043	0.0040	0.0030	0.0066
208	0.0080	0.0065	0.0061	0.0120
209	0.0021	0.0003	0.0032	0.0038
210	0.0039	0.0022	0.0031	0.0054
211	0.0027	0.0067	0.0020	0.0075
212	0.0023	0.0006	0.0037	0.0044
213	0.0033	0.0035	0.0013	0.0050
214	0.0052	0.0049	0.0017	0.0073
215	0.0043	0.0034	0.0017	0.0058
216	0.0027	0.0040	0.0036	0.0060
217	0.0028	0.0035	0.0021	0.0050
218	0.0034	0.0011	0.0032	0.0048
219	0.0019	0.0041	0.0026	0.0052
220	0.0025	0.0036	0.0052	0.0068
221	0.0024	0.0023	0.0010	0.0035
222	0.0041	0.0038	0.0022	0.0060
223	0.0004	0.0046	0.0019	0.0050
224	0.0068	0.0056	0.0035	0.0095
225	0.0041	0.0075	0.0035	0.0092
226	0.0025	0.0018	0.0027	0.0041
227	0.0039	0.0072	0.0010	0.0083
228	0.0015	0.0039	0.0030	0.0051
229	0.0024	0.0063	0.0024	0.0071
230	0.0025	0.0025	0.0034	0.0049
231	0.0015	0.0049	0.0045	0.0068
232	0.0027	0.0030	0.0009	0.0041
233	0.0033	0.0015	0.0018	0.0041
234	0.0008	0.0018	0.0019	0.0027
235	0.0033	0.0045	0.0026	0.0062
236	0.0038	0.0021	0.0008	0.0044
237	0.0032	0.0024	0.0005	0.0041
238	0.0035	0.0033	0.0040	0.0063
239	0.0016	0.0004	0.0020	0.0026
240	0.0042	0.0048	0.0015	0.0066
241	0.0032	0.0025	0.0035	0.0054
242	0.0047	0.0035	0.0011	0.0060
243	0.0037	0.0023	0.0013	0.0045
244	0.0027	0.0013	0.0027	0.0040
245	0.0024	0.0029	0.0014	0.0041
246	0.0038	0.0012	0.0022	0.0046
247	0.0021	0.0004	0.0006	0.0022
248	0.0034	0.0030	0.0017	0.0048
249	0.0012	0.0015	0.0007	0.0021
250	0.0038	0.0032	0.0037	0.0062
251	0.0015	0.0026	0.0014	0.0033
252	0.0014	0.0016	0.0017	0.0027
253	0.0017	0.0022	0.0038	0.0047
254	0.0030	0.0045	0.0009	0.0055
255	0.0008	0.0024	0.0020	0.0032
256	0.0020	0.0022	0.0016	0.0034
257	0.0049	0.0038	0.0026	0.0067
258	0.0052	0.0052	0.0064	0.0097
259	0.0035	0.0033	0.0017	0.0051
260	0.0050	0.0047	0.0032	0.0076
261	0.0016	0.0017	0.0021	0.0032
262	0.0011	0.0038	0.0011	0.0041
263	0.0010	0.0016	0.0007	0.0020
264	0.0026	0.0032	0.0026	0.0049
265	0.0035	0.0024	0.0012	0.0044
266	0.0006	0.0014	0.0016	0.0021
267	0.0020	0.0036	0.0021	0.0046
268	0.0065	0.0042	0.0046	0.0090
269	0.0004	0.0034	0.0008	0.0035
270	0.0028	0.0009	0.0033	0.0044
271	0.0010	0.0009	0.0014	0.0020
272	0.0016	0.0008	0.0006	0.0019
273	0.0028	0.0029	0.0014	0.0043
274	0.0007	0.0038	0.0017	0.0043
275	0.0037	0.0026	0.0002	0.0046
276	0.0018	0.0019	0.0012	0.0029
277	0.0031	0.0014	0.0020	0.0040
278	0.0029	0.0022	0.0015	0.0040
279	0.0036	0.0028	0.0004	0.0046
280	0.0018	0.0017	0.0029	0.0038
281	0.0035	0.0044	0.0008	0.0057
282	0.0018	0.0025	0.0049	0.0058
283	0.0006	0.0005	0.0018	0.0020
284	0.0033	0.0020	0.0008	0.0039
285	0.0039	0.0042	0.0020	0.0061
286	0.0045	0.0016	0.0059	0.0076
287	0.0038	0.0044	0.0009	0.0059
288	0.0015	0.0044	0.0018	0.0050
289	0.0037	0.0012	0.0026	0.0047
290	0.0019	0.0005	0.0010	0.0022
291	0.0014	0.0019	0.0018	0.0030
292	0.0020	0.0039	0.0027	0.0051
293	0.0013	0.0022	0.0031	0.0040
294	0.0077	0.0010	0.0039	0.0087
295	0.0029	0.0002	0.0030	0.0042
296	0.0050	0.0010	0.0013	0.0053
297	0.0052	0.0014	0.0014	0.0056
298	0.0036	0.0052	0.0029	0.0070
299	0.0057	0.0025	0.0035	0.0071
300	0.0056	0.0029	0.0055	0.0084
301	0.0276	0.0035	0.0195	0.0339
302	0.0160	0.0033	0.0091	0.0187
303	0.0064	0.0026	0.0071	0.0099
304	0.0003	0.0031	0.0008	0.0032
305	0.0013	0.0016	0.0015	0.0026
306	0.0012	0.0021	0.0005	0.0025
307	0.0017	0.0056	0.0015	0.0060
308	0.0035	0.0021	0.0024	0.0047
309	0.0070	0.0025	0.0037	0.0083
310	0.0046	0.0018	0.0015	0.0051
311	0.0027	0.0013	0.0026	0.0040
312	0.0023	0.0036	0.0014	0.0045
313	0.0014	0.0018	0.0026	0.0035
314	0.0021	0.0009	0.0033	0.0040
315	0.0011	0.0012	0.0023	0.0028
316	0.0047	0.0016	0.0021	0.0054
317	0.0046	0.0017	0.0045	0.0067
318	0.0033	0.0028	0.0028	0.0051
319	0.0010	0.0004	0.0008	0.0013
320	0.0011	0.0021	0.0018	0.0029
321	0.0015	0.0027	0.0008	0.0032
322	0.0021	0.0019	0.0020	0.0035
323	0.0022	0.0009	0.0021	0.0032
324	0.0017	0.0020	0.0009	0.0028
325	0.0028	0.0013	0.0005	0.0032
326	0.0015	0.0011	0.0030	0.0035
327	0.0009	0.0008	0.0016	0.0020
328	0.0034	0.0018	0.0018	0.0042
329	0.0027	0.0015	0.0031	0.0044
330	0.0017	0.0004	0.0015	0.0023
331	0.0002	0.0008	0.0021	0.0023
332	0.0016	0.0003	0.0012	0.0021
333	0.0017	0.0006	0.0024	0.0030
334	0.0024	0.0003	0.0017	0.0030
335	0.0015	0.0004	0.0025	0.0029
336	0.0012	0.0004	0.0012	0.0018
337	0.0010	0.0006	0.0003	0.0012
338	0.0021	0.0017	0.0015	0.0031
339	0.0012	0.0002	0.0016	0.0020
340	0.0013	0.0019	0.0012	0.0026
341	0.0020	0.0017	0.0028	0.0038
342	0.0010	0.0031	0.0006	0.0033
