Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0011	0.0056	0.0041	0.0070
144	0.0043	0.0093	0.0037	0.0109
145	0.0024	0.0063	0.0045	0.0081
146	0.0039	0.0043	0.0012	0.0059
147	0.0023	0.0147	0.0037	0.0153
148	0.0008	0.0057	0.0027	0.0064
149	0.0011	0.0036	0.0003	0.0037
150	0.0059	0.0051	0.0026	0.0082
151	0.0031	0.0073	0.0026	0.0083
152	0.0018	0.0026	0.0060	0.0068
153	0.0044	0.0062	0.0058	0.0095
154	0.0007	0.0077	0.0045	0.0089
155	0.0020	0.0026	0.0003	0.0033
156	0.0013	0.0028	0.0035	0.0047
157	0.0022	0.0033	0.0014	0.0042
158	0.0004	0.0029	0.0011	0.0031
159	0.0028	0.0034	0.0049	0.0066
160	0.0040	0.0020	0.0036	0.0057
161	0.0023	0.0024	0.0014	0.0036
162	0.0070	0.0026	0.0068	0.0101
163	0.0024	0.0032	0.0026	0.0048
164	0.0040	0.0065	0.0035	0.0084
165	0.0016	0.0041	0.0025	0.0051
166	0.0005	0.0019	0.0026	0.0032
167	0.0120	0.0027	0.0047	0.0131
168	0.0046	0.0061	0.0091	0.0119
169	0.0029	0.0051	0.0039	0.0071
170	0.0030	0.0038	0.0019	0.0052
171	0.0006	0.0050	0.0006	0.0051
172	0.0010	0.0065	0.0027	0.0071
173	0.0016	0.0073	0.0010	0.0076
174	0.0019	0.0016	0.0021	0.0033
175	0.0018	0.0038	0.0021	0.0047
176	0.0007	0.0025	0.0020	0.0033
177	0.0023	0.0015	0.0025	0.0037
178	0.0018	0.0034	0.0022	0.0045
179	0.0038	0.0074	0.0024	0.0086
180	0.0004	0.0017	0.0047	0.0050
181	0.0022	0.0037	0.0026	0.0050
182	0.0018	0.0016	0.0027	0.0036
183	0.0033	0.0058	0.0029	0.0073
184	0.0004	0.0017	0.0012	0.0021
185	0.0022	0.0075	0.0012	0.0079
186	0.0039	0.0040	0.0023	0.0060
187	0.0009	0.0024	0.0009	0.0027
188	0.0015	0.0018	0.0001	0.0023
189	0.0046	0.0027	0.0002	0.0053
190	0.0031	0.0034	0.0012	0.0048
191	0.0022	0.0040	0.0037	0.0059
192	0.0006	0.0046	0.0060	0.0076
193	0.0068	0.0034	0.0031	0.0082
194	0.0012	0.0028	0.0035	0.0046
195	0.0013	0.0047	0.0008	0.0050
196	0.0021	0.0074	0.0003	0.0077
197	0.0052	0.0010	0.0023	0.0058
198	0.0009	0.0050	0.0026	0.0057
199	0.0010	0.0025	0.0030	0.0040
200	0.0079	0.0032	0.0012	0.0086
201	0.0929	0.0141	0.0629	0.1131
202	0.0200	0.0037	0.0142	0.0248
203	0.0056	0.0051	0.0026	0.0079
204	0.0037	0.0023	0.0040	0.0059
205	0.0049	0.0035	0.0046	0.0076
206	0.0029	0.0046	0.0014	0.0056
