Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0016	0.0023	0.0031	0.0042
144	0.0014	0.0013	0.0014	0.0024
145	0.0014	0.0012	0.0020	0.0027
146	0.0003	0.0017	0.0030	0.0034
147	0.0020	0.0016	0.0013	0.0029
148	0.0012	0.0008	0.0029	0.0033
149	0.0017	0.0006	0.0017	0.0025
150	0.0045	0.0095	0.0019	0.0107
151	0.0029	0.0014	0.0012	0.0035
152	0.0028	0.0010	0.0022	0.0037
153	0.0021	0.0022	0.0009	0.0031
154	0.0011	0.0008	0.0031	0.0034
155	0.0026	0.0011	0.0026	0.0038
156	0.0001	0.0011	0.0005	0.0012
157	0.0023	0.0015	0.0039	0.0048
158	0.0015	0.0014	0.0005	0.0021
159	0.0021	0.0017	0.0013	0.0029
160	0.0015	0.0011	0.0004	0.0019
161	0.0029	0.0011	0.0025	0.0040
162	0.0008	0.0010	0.0018	0.0022
163	0.0030	0.0024	0.0018	0.0043
164	0.0024	0.0005	0.0009	0.0027
165	0.0025	0.0001	0.0007	0.0026
166	0.0012	0.0006	0.0011	0.0017
167	0.0003	0.0015	0.0008	0.0017
168	0.0011	0.0016	0.0030	0.0036
169	0.0008	0.0016	0.0017	0.0025
170	0.0020	0.0008	0.0015	0.0027
171	0.0009	0.0015	0.0008	0.0019
172	0.0013	0.0016	0.0015	0.0026
173	0.0007	0.0020	0.0035	0.0041
174	0.0017	0.0013	0.0011	0.0025
175	0.0010	0.0007	0.0011	0.0016
176	0.0034	0.0013	0.0009	0.0037
177	0.0029	0.0018	0.0025	0.0042
178	0.0008	0.0004	0.0003	0.0010
179	0.0008	0.0010	0.0013	0.0019
180	0.0016	0.0011	0.0028	0.0034
181	0.0012	0.0009	0.0008	0.0017
182	0.0009	0.0009	0.0021	0.0024
183	0.0004	0.0010	0.0021	0.0024
184	0.0022	0.0021	0.0013	0.0034
185	0.0022	0.0009	0.0015	0.0028
186	0.0012	0.0010	0.0010	0.0019
187	0.0019	0.0006	0.0007	0.0021
188	0.0011	0.0019	0.0004	0.0023
189	0.0012	0.0002	0.0016	0.0020
190	0.0021	0.0021	0.0010	0.0032
191	0.0006	0.0023	0.0011	0.0026
192	0.0017	0.0005	0.0001	0.0018
193	0.0009	0.0005	0.0008	0.0014
194	0.0013	0.0020	0.0017	0.0029
195	0.0030	0.0011	0.0005	0.0033
196	0.0012	0.0007	0.0011	0.0018
197	0.0014	0.0014	0.0005	0.0021
198	0.0024	0.0008	0.0026	0.0036
199	0.0008	0.0002	0.0021	0.0023
200	0.0016	0.0014	0.0016	0.0027
201	0.0014	0.0025	0.0020	0.0035
202	0.0014	0.0010	0.0004	0.0018
203	0.0014	0.0015	0.0007	0.0021
204	0.0015	0.0004	0.0012	0.0019
205	0.0016	0.0012	0.0020	0.0028
206	0.0004	0.0011	0.0016	0.0020
207	0.0021	0.0014	0.0017	0.0031
208	0.0019	0.0008	0.0030	0.0036
209	0.0015	0.0018	0.0013	0.0027
210	0.0020	0.0015	0.0031	0.0040
211	0.0010	0.0017	0.0008	0.0021
212	0.0020	0.0016	0.0011	0.0027
213	0.0010	0.0015	0.0020	0.0027
214	0.0004	0.0013	0.0018	0.0022
215	0.0006	0.0012	0.0023	0.0027
216	0.0003	0.0014	0.0014	0.0020
217	0.0000	0.0022	0.0029	0.0036
218	0.0007	0.0012	0.0002	0.0014
219	0.0012	0.0011	0.0026	0.0031
220	0.0011	0.0013	0.0021	0.0027
221	0.0018	0.0027	0.0002	0.0033
222	0.0021	0.0016	0.0003	0.0026
223	0.0014	0.0007	0.0013	0.0021
