Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0017	0.0035	0.0025	0.0046
144	0.0008	0.0013	0.0045	0.0047
145	0.0026	0.0020	0.0016	0.0036
146	0.0026	0.0026	0.0012	0.0039
147	0.0016	0.0013	0.0012	0.0023
148	0.0015	0.0015	0.0003	0.0022
149	0.0011	0.0009	0.0018	0.0023
150	0.0010	0.0011	0.0007	0.0016
151	0.0022	0.0017	0.0013	0.0031
152	0.0046	0.0015	0.0024	0.0054
153	0.0037	0.0001	0.0012	0.0039
154	0.0025	0.0027	0.0035	0.0051
155	0.0029	0.0020	0.0029	0.0046
156	0.0019	0.0022	0.0017	0.0033
157	0.0009	0.0005	0.0023	0.0025
158	0.0009	0.0015	0.0023	0.0029
159	0.0022	0.0028	0.0026	0.0044
160	0.0013	0.0011	0.0022	0.0027
161	0.0019	0.0002	0.0027	0.0033
162	0.0026	0.0010	0.0013	0.0031
163	0.0014	0.0009	0.0002	0.0017
164	0.0004	0.0015	0.0023	0.0027
165	0.0035	0.0009	0.0026	0.0045
166	0.0019	0.0020	0.0026	0.0038
167	0.0017	0.0013	0.0069	0.0072
168	0.0103	0.0051	0.0110	0.0159
169	0.0047	0.0010	0.0024	0.0053
170	0.0052	0.0018	0.0054	0.0077
171	0.0031	0.0013	0.0023	0.0041
172	0.0035	0.0004	0.0027	0.0044
173	0.0038	0.0007	0.0033	0.0051
174	0.0015	0.0022	0.0017	0.0032
175	0.0027	0.0010	0.0009	0.0030
176	0.0025	0.0031	0.0012	0.0042
177	0.0017	0.0005	0.0003	0.0018
178	0.0003	0.0019	0.0017	0.0026
179	0.0016	0.0011	0.0028	0.0034
180	0.0022	0.0020	0.0011	0.0031
181	0.0011	0.0003	0.0013	0.0017
182	0.0017	0.0018	0.0004	0.0025
183	0.0008	0.0014	0.0016	0.0023
184	0.0019	0.0007	0.0018	0.0027
185	0.0027	0.0015	0.0027	0.0041
186	0.0013	0.0016	0.0011	0.0023
187	0.0010	0.0011	0.0019	0.0024
188	0.0003	0.0012	0.0017	0.0021
189	0.0017	0.0003	0.0012	0.0021
190	0.0003	0.0024	0.0020	0.0032
191	0.0016	0.0011	0.0015	0.0025
192	0.0017	0.0009	0.0013	0.0023
193	0.0025	0.0001	0.0012	0.0028
194	0.0018	0.0014	0.0009	0.0024
195	0.0013	0.0003	0.0023	0.0027
196	0.0026	0.0006	0.0017	0.0031
197	0.0036	0.0002	0.0009	0.0038
198	0.0009	0.0008	0.0014	0.0018
199	0.0032	0.0013	0.0014	0.0038
200	0.0021	0.0005	0.0009	0.0023
201	0.0061	0.0019	0.0045	0.0078
202	0.0005	0.0026	0.0004	0.0027
203	0.0019	0.0016	0.0025	0.0035
204	0.0007	0.0001	0.0023	0.0024
205	0.0015	0.0017	0.0028	0.0036
206	0.0014	0.0021	0.0017	0.0030
207	0.0008	0.0006	0.0001	0.0010
208	0.0006	0.0006	0.0011	0.0014
209	0.0010	0.0008	0.0022	0.0026
210	0.0009	0.0021	0.0008	0.0024
211	0.0013	0.0012	0.0026	0.0031
212	0.0007	0.0024	0.0016	0.0030
213	0.0022	0.0034	0.0018	0.0044
214	0.0018	0.0015	0.0017	0.0029
215	0.0030	0.0003	0.0006	0.0031
216	0.0006	0.0020	0.0020	0.0029
217	0.0025	0.0018	0.0004	0.0031
218	0.0011	0.0010	0.0006	0.0016
219	0.0006	0.0003	0.0014	0.0016
220	0.0012	0.0005	0.0005	0.0014
221	0.0021	0.0020	0.0015	0.0033
222	0.0028	0.0046	0.0016	0.0056
223	0.0003	0.0011	0.0026	0.0028
224	0.0020	0.0010	0.0028	0.0036
225	0.0015	0.0008	0.0021	0.0027
226	0.0030	0.0021	0.0012	0.0039
227	0.0012	0.0012	0.0008	0.0019
228	0.0020	0.0012	0.0009	0.0025
229	0.0012	0.0009	0.0024	0.0028
230	0.0010	0.0011	0.0012	0.0019
231	0.0014	0.0008	0.0009	0.0018
232	0.0023	0.0003	0.0026	0.0035
233	0.0028	0.0026	0.0017	0.0042
234	0.0013	0.0006	0.0015	0.0021
235	0.0009	0.0019	0.0015	0.0025
236	0.0018	0.0008	0.0016	0.0026
237	0.0011	0.0004	0.0012	0.0017
238	0.0017	0.0013	0.0016	0.0027
239	0.0014	0.0004	0.0010	0.0018
240	0.0019	0.0007	0.0038	0.0043
241	0.0015	0.0012	0.0007	0.0021
242	0.0007	0.0017	0.0012	0.0022
243	0.0021	0.0014	0.0027	0.0037
244	0.0010	0.0014	0.0007	0.0019
245	0.0029	0.0006	0.0008	0.0030
246	0.0004	0.0009	0.0017	0.0020
247	0.0014	0.0018	0.0012	0.0026
248	0.0009	0.0026	0.0006	0.0028
249	0.0006	0.0013	0.0011	0.0018
250	0.0011	0.0011	0.0017	0.0023
251	0.0035	0.0024	0.0045	0.0061
252	0.0013	0.0014	0.0050	0.0053
253	0.0024	0.0026	0.0031	0.0047
254	0.0030	0.0024	0.0015	0.0041
255	0.0023	0.0011	0.0033	0.0041
256	0.0027	0.0004	0.0018	0.0033
257	0.0010	0.0020	0.0016	0.0028
258	0.0015	0.0011	0.0036	0.0040
259	0.0023	0.0013	0.0019	0.0033
260	0.0024	0.0006	0.0005	0.0025
261	0.0020	0.0018	0.0010	0.0029
262	0.0006	0.0005	0.0015	0.0017
263	0.0014	0.0011	0.0017	0.0025
264	0.0026	0.0006	0.0012	0.0029
265	0.0005	0.0007	0.0020	0.0022
266	0.0008	0.0007	0.0009	0.0014
267	0.0018	0.0006	0.0015	0.0025
268	0.0022	0.0006	0.0008	0.0024
269	0.0028	0.0013	0.0025	0.0039
270	0.0003	0.0017	0.0004	0.0018
271	0.0005	0.0013	0.0008	0.0016
272	0.0006	0.0015	0.0018	0.0025
273	0.0025	0.0010	0.0023	0.0035
274	0.0032	0.0018	0.0021	0.0042
275	0.0012	0.0021	0.0010	0.0027
276	0.0011	0.0021	0.0022	0.0033
277	0.0028	0.0012	0.0005	0.0031
278	0.0008	0.0013	0.0008	0.0018
279	0.0018	0.0006	0.0009	0.0021
280	0.0007	0.0021	0.0016	0.0027
281	0.0033	0.0013	0.0013	0.0038
282	0.0008	0.0006	0.0007	0.0012
283	0.0020	0.0009	0.0024	0.0033
284	0.0017	0.0009	0.0011	0.0022
285	0.0037	0.0027	0.0007	0.0046
286	0.0036	0.0021	0.0008	0.0042
287	0.0028	0.0010	0.0013	0.0032
288	0.0011	0.0005	0.0013	0.0018
289	0.0025	0.0015	0.0037	0.0047
290	0.0010	0.0004	0.0034	0.0036
291	0.0014	0.0005	0.0018	0.0023
292	0.0009	0.0015	0.0010	0.0020
293	0.0010	0.0003	0.0019	0.0022
294	0.0015	0.0006	0.0017	0.0023
295	0.0024	0.0020	0.0019	0.0036
296	0.0012	0.0013	0.0018	0.0025
297	0.0012	0.0011	0.0023	0.0028
298	0.0023	0.0013	0.0012	0.0029
299	0.0022	0.0013	0.0003	0.0026
300	0.0036	0.0015	0.0011	0.0041
301	0.0083	0.0007	0.0021	0.0086
302	0.0031	0.0015	0.0044	0.0056
303	0.0021	0.0011	0.0017	0.0029
304	0.0010	0.0004	0.0025	0.0027
305	0.0017	0.0011	0.0016	0.0026
306	0.0011	0.0008	0.0007	0.0015
307	0.0007	0.0011	0.0010	0.0016
308	0.0014	0.0012	0.0016	0.0024
309	0.0010	0.0003	0.0017	0.0020
310	0.0025	0.0007	0.0018	0.0032
