Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
663	0.0046	0.0076	0.0093	0.0129
664	0.0013	0.0051	0.0050	0.0073
665	0.0065	0.0046	0.0064	0.0102
666	0.0135	0.0143	0.0159	0.0253
667	0.0153	0.0174	0.0191	0.0300
668	0.0109	0.0129	0.0146	0.0223
669	0.0044	0.0050	0.0055	0.0086
670	0.0043	0.0073	0.0052	0.0099
671	0.0041	0.0078	0.0060	0.0107
672	0.0022	0.0046	0.0034	0.0062
673	0.0017	0.0015	0.0020	0.0030
674	0.0022	0.0020	0.0031	0.0043
675	0.0051	0.0066	0.0070	0.0109
676	0.0069	0.0092	0.0098	0.0151
677	0.0039	0.0076	0.0075	0.0114
678	0.0016	0.0027	0.0027	0.0041
679	0.0056	0.0036	0.0049	0.0083
680	0.0074	0.0073	0.0080	0.0132
681	0.0059	0.0073	0.0057	0.0110
682	0.0058	0.0081	0.0060	0.0116
683	0.0062	0.0079	0.0078	0.0127
684	0.0015	0.0037	0.0032	0.0051
685	0.0018	0.0021	0.0024	0.0037
686	0.0087	0.0110	0.0120	0.0185
687	0.0108	0.0146	0.0149	0.0235
688	0.0023	0.0039	0.0034	0.0057
689	0.0090	0.0119	0.0114	0.0188
690	0.0132	0.0163	0.0166	0.0268
691	0.0162	0.0196	0.0191	0.0317
692	0.0193	0.0237	0.0218	0.0376
693	0.0139	0.0170	0.0140	0.0261
694	0.0055	0.0077	0.0048	0.0107
695	0.0008	0.0002	0.0027	0.0029
696	0.0083	0.0105	0.0119	0.0179
697	0.0081	0.0093	0.0119	0.0171
698	0.0060	0.0057	0.0098	0.0128
699	0.0149	0.0192	0.0202	0.0316
700	0.0187	0.0258	0.0252	0.0407
701	0.0120	0.0166	0.0169	0.0266
702	0.0084	0.0120	0.0128	0.0194
703	0.0062	0.0112	0.0115	0.0172
704	0.0065	0.0094	0.0120	0.0166
705	0.0080	0.0104	0.0122	0.0179
706	0.0076	0.0093	0.0102	0.0158
707	0.0090	0.0106	0.0119	0.0183
708	0.0108	0.0123	0.0145	0.0218
709	0.0099	0.0107	0.0136	0.0200
710	0.0061	0.0080	0.0107	0.0147
711	0.0081	0.0118	0.0142	0.0202
712	0.0091	0.0116	0.0149	0.0210
713	0.0064	0.0066	0.0094	0.0132
714	0.0045	0.0028	0.0040	0.0067
715	0.0036	0.0023	0.0020	0.0047
716	0.0032	0.0018	0.0016	0.0040
717	0.0045	0.0041	0.0043	0.0075
718	0.0056	0.0075	0.0077	0.0121
719	0.0050	0.0062	0.0075	0.0110
720	0.0068	0.0079	0.0088	0.0137
721	0.0085	0.0083	0.0094	0.0151
722	0.0061	0.0054	0.0077	0.0112
723	0.0057	0.0065	0.0059	0.0105
