Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	70.3972	394.0001	-79.4209	408.0435
1	5.3944	5.2936	3.1885	8.2030
2	3.3147	6.4096	1.6022	7.3917
3	0.7784	3.2572	1.1076	3.5274
4	0.8009	0.1355	0.7833	1.1285
5	0.5165	0.8546	0.4039	1.0772
6	0.3954	0.6725	0.9571	1.2348
7	0.9978	0.7499	1.9136	2.2847
8	1.3021	0.9153	2.7079	3.1410
9	0.9328	0.7238	2.1902	2.4881
10	0.3678	0.2928	0.8688	0.9879
11	0.0590	0.0535	0.1063	0.1328
12	0.0587	0.0456	0.1182	0.1396
13	0.0466	0.0322	0.0714	0.0911
14	0.0252	0.0466	0.0749	0.0917
15	0.0367	0.0606	0.0789	0.1061
16	0.0537	0.0381	0.0905	0.1119
17	0.0614	0.0679	0.1156	0.1474
18	0.0523	0.0581	0.0975	0.1249
19	0.0285	0.0669	0.0413	0.0836
20	0.0157	0.0677	0.0175	0.0717
21	0.0180	0.0748	0.0117	0.0778
22	0.0226	0.0764	0.0287	0.0847
23	0.0222	0.0712	0.0277	0.0795
24	0.0177	0.0540	0.0199	0.0603
25	0.0150	0.0374	0.0232	0.0465
26	0.0139	0.0348	0.0184	0.0418
27	0.0134	0.0325	0.0152	0.0383
28	0.0134	0.0472	0.0188	0.0525
29	0.0133	0.0610	0.0220	0.0662
30	0.0114	0.0578	0.0187	0.0618
31	0.0095	0.0414	0.0167	0.0457
32	0.0037	0.0226	0.0116	0.0257
33	0.0026	0.0224	0.0085	0.0241
34	0.0040	0.0083	0.0074	0.0119
35	0.0028	0.0285	0.0083	0.0298
36	0.0072	0.0464	0.0165	0.0497
37	0.0096	0.0454	0.0191	0.0502
38	0.0051	0.0210	0.0097	0.0237
39	0.0020	0.0078	0.0039	0.0090
40	0.0049	0.0109	0.0104	0.0158
41	0.0100	0.0325	0.0186	0.0388
42	0.0059	0.0262	0.0135	0.0301
43	0.0047	0.0152	0.0005	0.0159
44	0.0103	0.0308	0.0081	0.0335
45	0.0068	0.0273	0.0088	0.0295
46	0.0033	0.0260	0.0150	0.0302
47	0.0028	0.0195	0.0135	0.0239
48	0.0030	0.0072	0.0056	0.0096
49	0.0163	0.0285	0.0083	0.0339
50	0.0286	0.0309	0.0157	0.0449
51	0.0203	0.0198	0.0172	0.0332
52	0.0064	0.0210	0.0101	0.0241
53	0.0045	0.0104	0.0031	0.0117
54	0.0040	0.0095	0.0053	0.0116
55	0.0063	0.0203	0.0068	0.0223
56	0.0078	0.0180	0.0072	0.0209
57	0.0044	0.0099	0.0039	0.0116
58	0.0017	0.0124	0.0024	0.0128
59	0.0043	0.0049	0.0025	0.0070
60	0.0052	0.0212	0.0088	0.0235
61	0.0077	0.0374	0.0151	0.0411
62	0.0085	0.0401	0.0161	0.0441
63	0.0088	0.0490	0.0197	0.0535
64	0.0105	0.0580	0.0238	0.0636
65	0.0112	0.0514	0.0214	0.0568
66	0.0089	0.0350	0.0132	0.0384
67	0.0067	0.0312	0.0090	0.0332
68	0.0047	0.0279	0.0078	0.0293
69	0.0045	0.0200	0.0075	0.0219
70	0.0045	0.0102	0.0054	0.0124
71	0.0030	0.0073	0.0021	0.0082
72	0.0088	0.0249	0.0107	0.0285
73	0.0108	0.0340	0.0165	0.0393
74	0.0080	0.0277	0.0133	0.0318
75	0.0024	0.0122	0.0053	0.0135
76	0.0009	0.0062	0.0026	0.0068
77	0.0035	0.0208	0.0069	0.0223
78	0.0051	0.0231	0.0068	0.0246
79	0.0027	0.0116	0.0008	0.0119
80	0.0036	0.0040	0.0047	0.0071
81	0.0031	0.0087	0.0041	0.0101
82	0.0015	0.0172	0.0071	0.0186
83	0.0044	0.0262	0.0119	0.0291
84	0.0043	0.0214	0.0115	0.0247
85	0.0013	0.0056	0.0039	0.0070
86	0.0052	0.0174	0.0054	0.0189
87	0.0068	0.0171	0.0086	0.0203
88	0.0076	0.0274	0.0115	0.0307
89	0.0057	0.0241	0.0089	0.0264
90	0.0016	0.0069	0.0044	0.0084
91	0.0084	0.0362	0.0129	0.0393
92	0.0093	0.0389	0.0134	0.0422
93	0.0080	0.0338	0.0120	0.0368
94	0.0078	0.0355	0.0132	0.0387
95	0.0059	0.0271	0.0090	0.0292
96	0.0039	0.0137	0.0034	0.0146
97	0.0035	0.0132	0.0067	0.0152
98	0.0030	0.0117	0.0076	0.0143
99	0.0147	0.0597	0.0233	0.0658
100	0.0208	0.0969	0.0367	0.1057
101	0.0131	0.0691	0.0277	0.0756
102	0.0063	0.0312	0.0117	0.0339
