Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-7.4153	-0.1295	-45.3887	45.9906
1	0.0491	0.0801	0.0549	0.1088
2	0.0091	0.0769	0.0563	0.0957
3	0.0144	0.0667	0.0591	0.0902
4	0.0171	0.0312	0.0230	0.0424
5	0.0121	0.0255	0.0342	0.0444
6	0.0008	0.0291	0.0131	0.0319
7	0.0089	0.0181	0.0118	0.0234
8	0.0052	0.0106	0.0104	0.0157
9	0.0048	0.0102	0.0072	0.0133
10	0.0037	0.0155	0.0116	0.0197
11	0.0030	0.0076	0.0099	0.0129
12	0.0064	0.0129	0.0106	0.0179
13	0.0015	0.0094	0.0069	0.0118
14	0.0037	0.0151	0.0108	0.0189
15	0.0021	0.0074	0.0047	0.0090
16	0.0026	0.0044	0.0057	0.0076
17	0.0015	0.0076	0.0145	0.0165
18	0.0031	0.0071	0.0060	0.0098
19	0.0080	0.0026	0.0034	0.0091
20	0.0047	0.0061	0.0040	0.0087
21	0.0032	0.0099	0.0084	0.0134
22	0.0043	0.0067	0.0021	0.0082
23	0.0029	0.0078	0.0076	0.0113
24	0.0021	0.0056	0.0074	0.0095
25	0.0030	0.0073	0.0049	0.0093
26	0.0049	0.0071	0.0048	0.0099
27	0.0011	0.0070	0.0085	0.0110
28	0.0015	0.0053	0.0030	0.0063
29	0.0016	0.0070	0.0029	0.0077
30	0.0023	0.0080	0.0024	0.0086
31	0.0015	0.0048	0.0008	0.0051
32	0.0023	0.0027	0.0057	0.0067
33	0.0035	0.0045	0.0035	0.0067
34	0.0036	0.0043	0.0057	0.0080
35	0.0018	0.0043	0.0018	0.0050
36	0.0007	0.0008	0.0014	0.0017
37	0.0011	0.0028	0.0047	0.0056
38	0.0021	0.0026	0.0015	0.0037
39	0.0035	0.0030	0.0053	0.0070
40	0.0011	0.0038	0.0043	0.0059
41	0.0007	0.0017	0.0034	0.0039
42	0.0022	0.0044	0.0047	0.0068
43	0.0035	0.0036	0.0035	0.0061
44	0.0004	0.0029	0.0016	0.0034
45	0.0019	0.0047	0.0030	0.0059
46	0.0020	0.0018	0.0035	0.0044
47	0.0005	0.0039	0.0044	0.0059
48	0.0023	0.0033	0.0038	0.0055
49	0.0024	0.0042	0.0040	0.0063
50	0.0177	0.0267	0.0263	0.0415
51	0.0007	0.0047	0.0013	0.0049
52	0.0012	0.0015	0.0033	0.0039
53	0.0006	0.0021	0.0025	0.0033
54	0.0019	0.0019	0.0037	0.0046
55	0.0018	0.0020	0.0028	0.0038
56	0.0012	0.0021	0.0051	0.0056
57	0.0037	0.0021	0.0024	0.0049
58	0.0037	0.0027	0.0013	0.0047
