Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	158.2986	698.4695	-379.0882	810.3246
1	4.1420	4.6944	6.9265	9.3364
2	1.2076	1.7038	5.7107	6.0806
3	2.3491	3.0732	1.8425	4.2846
4	3.9465	4.7773	1.4407	6.3619
5	3.6078	4.2655	1.8737	5.8925
6	2.5991	2.7408	1.4251	4.0370
7	2.0111	1.5451	0.6443	2.6167
8	1.5653	1.0029	0.1314	1.8637
9	0.7575	0.3266	0.3472	0.8950
10	0.1701	0.3724	0.4532	0.6107
11	0.5168	0.5336	0.2955	0.7994
12	0.4099	0.3385	0.1822	0.5619
13	0.1676	0.1856	0.1828	0.3097
14	0.0593	0.1777	0.1248	0.2251
15	0.0291	0.1310	0.0898	0.1615
16	0.1012	0.0910	0.0534	0.1462
17	0.1168	0.1727	0.0123	0.2089
18	0.0949	0.1482	0.0213	0.1773
19	0.0485	0.1203	0.0804	0.1526
20	0.0100	0.1995	0.1344	0.2408
21	0.0457	0.2004	0.1355	0.2462
22	0.0434	0.0965	0.0836	0.1348
23	0.0235	0.0105	0.0455	0.0523
24	0.0136	0.0392	0.0369	0.0555
25	0.0133	0.0652	0.0405	0.0779
26	0.0241	0.1063	0.0518	0.1207
27	0.0273	0.0964	0.0594	0.1165
28	0.0171	0.0545	0.0524	0.0776
29	0.0151	0.0662	0.0471	0.0826
30	0.0240	0.1001	0.0538	0.1162
31	0.0246	0.1020	0.0509	0.1166
32	0.0115	0.0611	0.0241	0.0667
33	0.0034	0.0380	0.0179	0.0421
34	0.0060	0.0222	0.0125	0.0262
35	0.0068	0.0037	0.0060	0.0098
36	0.0108	0.0276	0.0255	0.0391
37	0.0160	0.0585	0.0489	0.0779
38	0.0149	0.0544	0.0493	0.0749
39	0.0109	0.0409	0.0403	0.0584
40	0.0158	0.0653	0.0506	0.0841
41	0.0235	0.0882	0.0604	0.1095
42	0.0187	0.0645	0.0380	0.0771
43	0.0072	0.0191	0.0079	0.0219
44	0.0143	0.0535	0.0323	0.0642
45	0.0167	0.0700	0.0421	0.0834
46	0.0119	0.0463	0.0255	0.0542
47	0.0178	0.0556	0.0398	0.0706
48	0.0283	0.0892	0.0691	0.1163
49	0.0326	0.0880	0.0804	0.1236
50	0.0307	0.0865	0.0815	0.1228
51	0.0185	0.0488	0.0518	0.0735
52	0.0082	0.0278	0.0259	0.0388
53	0.0075	0.0484	0.0378	0.0618
54	0.0101	0.0532	0.0419	0.0685
55	0.0095	0.0431	0.0346	0.0561
56	0.0043	0.0200	0.0180	0.0273
57	0.0060	0.0281	0.0183	0.0341
58	0.0067	0.0314	0.0198	0.0378
59	0.0040	0.0154	0.0088	0.0182
60	0.0010	0.0160	0.0082	0.0181
61	0.0041	0.0283	0.0147	0.0321
62	0.0079	0.0376	0.0220	0.0443
63	0.0090	0.0535	0.0326	0.0633
64	0.0147	0.0724	0.0460	0.0870
65	0.0153	0.0717	0.0445	0.0858
66	0.0124	0.0608	0.0346	0.0711
67	0.0155	0.0665	0.0383	0.0783
68	0.0193	0.0730	0.0456	0.0882
69	0.0184	0.0661	0.0440	0.0815
70	0.0123	0.0490	0.0336	0.0607
71	0.0102	0.0400	0.0281	0.0499
72	0.0136	0.0528	0.0372	0.0660
73	0.0147	0.0562	0.0385	0.0697
74	0.0132	0.0413	0.0266	0.0508
75	0.0093	0.0131	0.0094	0.0186
76	0.0095	0.0269	0.0187	0.0341
77	0.0062	0.0195	0.0140	0.0248
78	0.0053	0.0082	0.0045	0.0108
79	0.0061	0.0137	0.0075	0.0168
80	0.0044	0.0131	0.0082	0.0161
81	0.0079	0.0248	0.0184	0.0319
82	0.0115	0.0386	0.0271	0.0486
83	0.0144	0.0476	0.0317	0.0590
84	0.0135	0.0350	0.0207	0.0428
85	0.0111	0.0391	0.0234	0.0470
86	0.0076	0.0281	0.0181	0.0342
87	0.0124	0.0494	0.0321	0.0602
88	0.0154	0.0700	0.0450	0.0847
89	0.0152	0.0729	0.0475	0.0884
90	0.0104	0.0495	0.0327	0.0602
91	0.0028	0.0079	0.0064	0.0105
92	0.0067	0.0198	0.0116	0.0239
93	0.0049	0.0269	0.0188	0.0332
94	0.0060	0.0346	0.0263	0.0439
95	0.0063	0.0349	0.0240	0.0428
96	0.0087	0.0481	0.0293	0.0570
97	0.0043	0.0284	0.0162	0.0329
98	0.0107	0.0525	0.0352	0.0641
99	0.0438	0.1940	0.1257	0.2353
100	0.0691	0.2926	0.1877	0.3544
101	0.0440	0.1829	0.1150	0.2205
102	0.0014	0.0134	0.0042	0.0141
103	0.0158	0.0527	0.0359	0.0657
104	0.0092	0.0321	0.0192	0.0385
105	0.0075	0.0296	0.0137	0.0334
106	0.0096	0.0384	0.0198	0.0443
107	0.0104	0.0481	0.0271	0.0562
108	0.0047	0.0252	0.0132	0.0288
109	0.0103	0.0289	0.0204	0.0369
110	0.0139	0.0484	0.0333	0.0603
111	0.0090	0.0339	0.0253	0.0433
112	0.0046	0.0222	0.0183	0.0292
113	0.0053	0.0288	0.0210	0.0361
114	0.0089	0.0424	0.0282	0.0516
115	0.0118	0.0548	0.0359	0.0666
