Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
320	0.0008	0.0003	0.0011	0.0014
321	0.0009	0.0007	0.0019	0.0023
322	0.0012	0.0022	0.0002	0.0025
323	0.0020	0.0010	0.0018	0.0029
324	0.0011	0.0006	0.0002	0.0013
325	0.0016	0.0021	0.0019	0.0032
326	0.0009	0.0017	0.0013	0.0023
327	0.0013	0.0006	0.0017	0.0022
328	0.0008	0.0014	0.0019	0.0025
329	0.0008	0.0019	0.0005	0.0021
330	0.0010	0.0002	0.0009	0.0014
331	0.0003	0.0006	0.0010	0.0012
332	0.0011	0.0009	0.0002	0.0014
333	0.0006	0.0002	0.0012	0.0014
334	0.0009	0.0022	0.0007	0.0025
335	0.0007	0.0010	0.0028	0.0031
336	0.0017	0.0011	0.0008	0.0022
337	0.0007	0.0010	0.0007	0.0014
338	0.0021	0.0006	0.0005	0.0023
339	0.0022	0.0004	0.0012	0.0025
340	0.0002	0.0006	0.0026	0.0027
341	0.0010	0.0007	0.0002	0.0012
342	0.0006	0.0004	0.0022	0.0023
343	0.0018	0.0005	0.0070	0.0072
344	0.0008	0.0011	0.0040	0.0042
345	0.0011	0.0006	0.0005	0.0013
346	0.0007	0.0010	0.0003	0.0012
347	0.0007	0.0011	0.0016	0.0021
348	0.0014	0.0014	0.0014	0.0024
349	0.0012	0.0007	0.0007	0.0016
350	0.0055	0.0058	0.0030	0.0085
351	0.0018	0.0018	0.0025	0.0036
352	0.0012	0.0017	0.0011	0.0024
353	0.0015	0.0010	0.0002	0.0018
354	0.0005	0.0009	0.0025	0.0027
355	0.0017	0.0024	0.0010	0.0031
356	0.0012	0.0009	0.0016	0.0022
357	0.0011	0.0011	0.0008	0.0017
358	0.0020	0.0012	0.0014	0.0027
359	0.0021	0.0003	0.0037	0.0042
360	0.0032	0.0008	0.0056	0.0065
361	0.0002	0.0015	0.0015	0.0022
362	0.0009	0.0025	0.0018	0.0032
363	0.0011	0.0008	0.0012	0.0018
364	0.0012	0.0003	0.0009	0.0016
365	0.0028	0.0007	0.0020	0.0035
366	0.0010	0.0012	0.0009	0.0018
367	0.0005	0.0013	0.0016	0.0022
368	0.0020	0.0003	0.0015	0.0025
369	0.0008	0.0009	0.0023	0.0026
370	0.0015	0.0016	0.0015	0.0027
371	0.0012	0.0002	0.0020	0.0024
372	0.0010	0.0007	0.0010	0.0015
373	0.0024	0.0004	0.0019	0.0031
374	0.0019	0.0010	0.0017	0.0028
375	0.0014	0.0015	0.0016	0.0026
376	0.0015	0.0010	0.0010	0.0020
377	0.0006	0.0005	0.0012	0.0014
378	0.0011	0.0010	0.0012	0.0019
379	0.0009	0.0016	0.0009	0.0021
380	0.0015	0.0009	0.0004	0.0018
381	0.0008	0.0013	0.0014	0.0020
382	0.0011	0.0014	0.0020	0.0026
383	0.0007	0.0015	0.0012	0.0020
384	0.0002	0.0006	0.0015	0.0016
385	0.0011	0.0009	0.0031	0.0034
386	0.0019	0.0012	0.0012	0.0025
387	0.0007	0.0009	0.0009	0.0015
388	0.0006	0.0003	0.0009	0.0012
389	0.0014	0.0015	0.0011	0.0023
390	0.0009	0.0011	0.0017	0.0022
391	0.0017	0.0002	0.0016	0.0024
392	0.0008	0.0007	0.0024	0.0026
393	0.0007	0.0007	0.0046	0.0047
394	0.0018	0.0007	0.0069	0.0071
395	0.0018	0.0014	0.0029	0.0036
396	0.0008	0.0006	0.0012	0.0015
397	0.0005	0.0012	0.0012	0.0018
398	0.0013	0.0003	0.0009	0.0016
399	0.0011	0.0008	0.0015	0.0020
400	0.0002	0.0015	0.0013	0.0020
401	0.0004	0.0014	0.0018	0.0024
402	0.0071	0.0024	0.0257	0.0267
403	0.0018	0.0005	0.0017	0.0026
404	0.0006	0.0014	0.0009	0.0017
405	0.0004	0.0010	0.0020	0.0023
406	0.0011	0.0017	0.0016	0.0026
407	0.0020	0.0004	0.0028	0.0035
408	0.0012	0.0015	0.0020	0.0027
409	0.0013	0.0024	0.0039	0.0047
410	0.0036	0.0021	0.0095	0.0104
411	0.0016	0.0009	0.0061	0.0064
412	0.0016	0.0010	0.0019	0.0027
413	0.0005	0.0003	0.0017	0.0018
414	0.0008	0.0012	0.0009	0.0017
415	0.0011	0.0006	0.0025	0.0028
416	0.0010	0.0010	0.0009	0.0017
417	0.0011	0.0006	0.0006	0.0014
418	0.0014	0.0008	0.0017	0.0024
419	0.0012	0.0006	0.0016	0.0021
420	0.0008	0.0007	0.0021	0.0023
421	0.0012	0.0012	0.0021	0.0027
422	0.0014	0.0006	0.0008	0.0017
423	0.0009	0.0008	0.0013	0.0017
424	0.0005	0.0014	0.0018	0.0023
425	0.0004	0.0011	0.0014	0.0018
426	0.0009	0.0009	0.0011	0.0017
427	0.0022	0.0017	0.0042	0.0051
428	0.0007	0.0005	0.0007	0.0011
429	0.0011	0.0007	0.0019	0.0024
430	0.0010	0.0010	0.0012	0.0018
431	0.0014	0.0014	0.0012	0.0023
432	0.0016	0.0013	0.0021	0.0029
433	0.0012	0.0009	0.0009	0.0018
434	0.0008	0.0003	0.0008	0.0011
435	0.0003	0.0004	0.0020	0.0021
436	0.0015	0.0016	0.0018	0.0028
437	0.0007	0.0020	0.0028	0.0035
438	0.0021	0.0003	0.0003	0.0021
439	0.0009	0.0013	0.0004	0.0016
440	0.0006	0.0008	0.0016	0.0019
441	0.0002	0.0006	0.0009	0.0011
442	0.0004	0.0005	0.0010	0.0012
443	0.0005	0.0004	0.0012	0.0013
444	0.0007	0.0005	0.0062	0.0062
445	0.0005	0.0013	0.0001	0.0015
446	0.0019	0.0007	0.0013	0.0024
447	0.0017	0.0007	0.0016	0.0024
448	0.0007	0.0006	0.0015	0.0018
449	0.0005	0.0021	0.0012	0.0025
450	0.0024	0.0033	0.0019	0.0045
451	0.0010	0.0017	0.0010	0.0022
452	0.0007	0.0002	0.0011	0.0014
453	0.0006	0.0004	0.0016	0.0018
454	0.0006	0.0013	0.0001	0.0014
455	0.0003	0.0009	0.0005	0.0011
456	0.0001	0.0018	0.0011	0.0021
457	0.0024	0.0013	0.0005	0.0027
458	0.0003	0.0018	0.0003	0.0019
459	0.0009	0.0003	0.0011	0.0014
460	0.0015	0.0010	0.0030	0.0035
461	0.0031	0.0007	0.0052	0.0060
462	0.0024	0.0007	0.0024	0.0034
463	0.0007	0.0004	0.0009	0.0012
464	0.0015	0.0004	0.0014	0.0021
465	0.0013	0.0007	0.0015	0.0021
466	0.0014	0.0012	0.0013	0.0022
467	0.0014	0.0010	0.0014	0.0022
468	0.0004	0.0008	0.0002	0.0009
469	0.0007	0.0023	0.0016	0.0029
470	0.0008	0.0012	0.0007	0.0016
471	0.0012	0.0016	0.0014	0.0024
472	0.0008	0.0002	0.0014	0.0017
473	0.0008	0.0016	0.0006	0.0019
474	0.0005	0.0005	0.0024	0.0025
475	0.0014	0.0017	0.0013	0.0026
476	0.0001	0.0007	0.0018	0.0019
477	0.0015	0.0010	0.0040	0.0044
478	0.0012	0.0006	0.0026	0.0029
479	0.0021	0.0004	0.0021	0.0030
480	0.0025	0.0006	0.0015	0.0030
481	0.0017	0.0004	0.0008	0.0019
482	0.0001	0.0003	0.0005	0.0006
483	0.0018	0.0001	0.0022	0.0028
484	0.0001	0.0005	0.0012	0.0013
485	0.0007	0.0012	0.0012	0.0018
486	0.0008	0.0008	0.0021	0.0024
487	0.0013	0.0007	0.0011	0.0018
488	0.0022	0.0015	0.0013	0.0029
489	0.0011	0.0010	0.0008	0.0017
490	0.0006	0.0015	0.0011	0.0020
491	0.0010	0.0006	0.0010	0.0015
492	0.0009	0.0019	0.0008	0.0023
493	0.0018	0.0001	0.0016	0.0025
494	0.0017	0.0011	0.0019	0.0028
495	0.0002	0.0011	0.0011	0.0016
496	0.0005	0.0004	0.0027	0.0028
497	0.0012	0.0018	0.0020	0.0029
498	0.0002	0.0011	0.0011	0.0016
499	0.0002	0.0007	0.0032	0.0033
500	0.0012	0.0011	0.0033	0.0037
501	0.0015	0.0009	0.0035	0.0039
502	0.0041	0.0020	0.0153	0.0160
503	0.0058	0.0015	0.0131	0.0144
504	0.0016	0.0005	0.0048	0.0051
505	0.0018	0.0008	0.0022	0.0029
506	0.0010	0.0008	0.0028	0.0031
507	0.0011	0.0014	0.0009	0.0019
508	0.0010	0.0005	0.0014	0.0018
509	0.0026	0.0011	0.0013	0.0031
510	0.0023	0.0009	0.0018	0.0030
511	0.0009	0.0010	0.0011	0.0018
512	0.0016	0.0008	0.0009	0.0020
513	0.0011	0.0008	0.0012	0.0018
514	0.0006	0.0008	0.0010	0.0014
515	0.0007	0.0007	0.0023	0.0025
516	0.0011	0.0012	0.0011	0.0020
517	0.0011	0.0008	0.0007	0.0016
518	0.0012	0.0013	0.0004	0.0018
519	0.0014	0.0007	0.0021	0.0026
520	0.0010	0.0006	0.0016	0.0020
521	0.0011	0.0007	0.0023	0.0027
522	0.0004	0.0007	0.0009	0.0011
523	0.0013	0.0005	0.0016	0.0022
524	0.0016	0.0006	0.0011	0.0020
525	0.0015	0.0014	0.0021	0.0029
526	0.0004	0.0008	0.0013	0.0016
527	0.0004	0.0010	0.0005	0.0012
528	0.0003	0.0013	0.0015	0.0020
529	0.0013	0.0008	0.0007	0.0017
530	0.0008	0.0015	0.0015	0.0022
531	0.0003	0.0003	0.0010	0.0011
532	0.0004	0.0014	0.0013	0.0019
533	0.0014	0.0010	0.0006	0.0018
534	0.0003	0.0006	0.0014	0.0016
535	0.0014	0.0009	0.0009	0.0019
536	0.0011	0.0003	0.0008	0.0014
537	0.0007	0.0005	0.0002	0.0009
538	0.0009	0.0012	0.0014	0.0021
539	0.0016	0.0011	0.0022	0.0029
540	0.0021	0.0007	0.0008	0.0024
541	0.0009	0.0011	0.0004	0.0015
542	0.0005	0.0019	0.0015	0.0025
543	0.0011	0.0016	0.0006	0.0020
544	0.0014	0.0002	0.0053	0.0055
545	0.0009	0.0015	0.0027	0.0032
546	0.0003	0.0017	0.0010	0.0020
547	0.0018	0.0018	0.0010	0.0028
548	0.0031	0.0006	0.0007	0.0033
549	0.0001	0.0007	0.0017	0.0019
550	0.0011	0.0024	0.0021	0.0034
551	0.0006	0.0004	0.0008	0.0010
552	0.0011	0.0002	0.0013	0.0017
553	0.0023	0.0005	0.0009	0.0025
554	0.0012	0.0019	0.0025	0.0034
555	0.0008	0.0011	0.0004	0.0014
556	0.0001	0.0004	0.0011	0.0011
557	0.0015	0.0006	0.0010	0.0019
558	0.0024	0.0002	0.0004	0.0024
559	0.0016	0.0007	0.0012	0.0021
560	0.0013	0.0008	0.0015	0.0021
561	0.0013	0.0003	0.0029	0.0032
562	0.0005	0.0002	0.0006	0.0008
563	0.0006	0.0001	0.0014	0.0015
564	0.0007	0.0008	0.0013	0.0017
565	0.0014	0.0007	0.0005	0.0016
566	0.0014	0.0013	0.0016	0.0025
567	0.0011	0.0003	0.0025	0.0027
568	0.0004	0.0008	0.0008	0.0012
569	0.0018	0.0016	0.0016	0.0029
570	0.0005	0.0007	0.0004	0.0009
571	0.0012	0.0005	0.0006	0.0014
572	0.0011	0.0007	0.0005	0.0014
573	0.0008	0.0004	0.0014	0.0017
574	0.0020	0.0022	0.0019	0.0036
575	0.0011	0.0006	0.0009	0.0016
576	0.0006	0.0007	0.0019	0.0022
577	0.0002	0.0001	0.0008	0.0008
578	0.0005	0.0008	0.0027	0.0028
579	0.0017	0.0005	0.0016	0.0024
580	0.0006	0.0001	0.0010	0.0011
581	0.0008	0.0007	0.0011	0.0015
582	0.0004	0.0010	0.0013	0.0017
583	0.0005	0.0003	0.0014	0.0016
584	0.0006	0.0005	0.0003	0.0008
585	0.0021	0.0014	0.0004	0.0026
586	0.0012	0.0016	0.0012	0.0024
587	0.0003	0.0012	0.0019	0.0023
588	0.0016	0.0012	0.0007	0.0021
589	0.0006	0.0005	0.0006	0.0010
590	0.0008	0.0009	0.0006	0.0013
591	0.0018	0.0011	0.0002	0.0021
592	0.0015	0.0005	0.0013	0.0021
593	0.0007	0.0005	0.0012	0.0015
594	0.0012	0.0008	0.0038	0.0041
595	0.0015	0.0015	0.0054	0.0058
596	0.0008	0.0005	0.0006	0.0011
597	0.0005	0.0006	0.0013	0.0015
598	0.0005	0.0011	0.0016	0.0020
599	0.0012	0.0010	0.0014	0.0021
600	0.0005	0.0011	0.0007	0.0014
601	0.0025	0.0007	0.0016	0.0030
602	0.0006	0.0010	0.0012	0.0016
603	0.0037	0.0005	0.0165	0.0169
604	0.0010	0.0006	0.0011	0.0016
605	0.0007	0.0006	0.0004	0.0010
606	0.0008	0.0009	0.0006	0.0013
607	0.0015	0.0005	0.0002	0.0016
608	0.0008	0.0005	0.0015	0.0017
609	0.0014	0.0010	0.0008	0.0019
610	0.0003	0.0009	0.0017	0.0019
611	0.0005	0.0012	0.0044	0.0046
612	0.0008	0.0018	0.0035	0.0040
613	0.0012	0.0003	0.0030	0.0033
614	0.0015	0.0010	0.0012	0.0022
615	0.0004	0.0008	0.0017	0.0019
616	0.0009	0.0012	0.0012	0.0019
617	0.0015	0.0012	0.0002	0.0019
618	0.0018	0.0014	0.0014	0.0027
619	0.0010	0.0009	0.0020	0.0024
620	0.0008	0.0016	0.0014	0.0023
621	0.0003	0.0007	0.0018	0.0019
622	0.0009	0.0016	0.0015	0.0024
623	0.0015	0.0013	0.0012	0.0023
624	0.0004	0.0012	0.0012	0.0018
625	0.0015	0.0007	0.0008	0.0018
626	0.0012	0.0017	0.0007	0.0022
627	0.0004	0.0011	0.0016	0.0020
628	0.0010	0.0013	0.0024	0.0029
629	0.0014	0.0015	0.0010	0.0023
630	0.0009	0.0008	0.0014	0.0018
631	0.0005	0.0006	0.0004	0.0008
632	0.0005	0.0011	0.0015	0.0019
633	0.0008	0.0006	0.0015	0.0018
634	0.0007	0.0005	0.0014	0.0017
635	0.0011	0.0008	0.0011	0.0017
636	0.0011	0.0012	0.0011	0.0020
637	0.0005	0.0012	0.0014	0.0019
638	0.0015	0.0008	0.0002	0.0018
639	0.0007	0.0018	0.0008	0.0021
640	0.0007	0.0013	0.0006	0.0016
641	0.0010	0.0012	0.0003	0.0016
642	0.0002	0.0015	0.0004	0.0016
643	0.0017	0.0006	0.0006	0.0019
644	0.0013	0.0005	0.0026	0.0029
645	0.0002	0.0017	0.0039	0.0042
646	0.0002	0.0011	0.0004	0.0013
647	0.0005	0.0007	0.0018	0.0020
648	0.0016	0.0016	0.0007	0.0024
649	0.0017	0.0005	0.0012	0.0022
650	0.0026	0.0027	0.0006	0.0037
651	0.0012	0.0008	0.0019	0.0024
652	0.0017	0.0016	0.0005	0.0024
653	0.0004	0.0012	0.0035	0.0037
654	0.0008	0.0016	0.0005	0.0018
655	0.0007	0.0004	0.0012	0.0015
656	0.0015	0.0006	0.0004	0.0017
657	0.0011	0.0011	0.0005	0.0016
658	0.0014	0.0013	0.0011	0.0022
659	0.0014	0.0015	0.0009	0.0022
660	0.0008	0.0007	0.0007	0.0013
661	0.0019	0.0006	0.0013	0.0024
662	0.0009	0.0013	0.0029	0.0034
663	0.0016	0.0019	0.0012	0.0027
664	0.0017	0.0008	0.0008	0.0020
665	0.0021	0.0011	0.0011	0.0026
666	0.0004	0.0006	0.0012	0.0014
667	0.0008	0.0001	0.0020	0.0022
668	0.0007	0.0009	0.0013	0.0017
669	0.0008	0.0005	0.0004	0.0010
670	0.0006	0.0005	0.0011	0.0014
671	0.0017	0.0015	0.0004	0.0023
672	0.0014	0.0002	0.0017	0.0023
673	0.0012	0.0006	0.0013	0.0019
674	0.0003	0.0009	0.0005	0.0011
675	0.0010	0.0017	0.0006	0.0020
676	0.0015	0.0014	0.0004	0.0021
677	0.0007	0.0008	0.0005	0.0012
678	0.0015	0.0010	0.0020	0.0027
679	0.0013	0.0011	0.0004	0.0018
680	0.0016	0.0009	0.0014	0.0023
681	0.0013	0.0011	0.0015	0.0022
682	0.0003	0.0008	0.0012	0.0015
683	0.0021	0.0013	0.0001	0.0025
684	0.0017	0.0008	0.0006	0.0020
685	0.0011	0.0023	0.0005	0.0026
686	0.0014	0.0012	0.0013	0.0023
687	0.0009	0.0006	0.0015	0.0019
688	0.0001	0.0009	0.0006	0.0011
689	0.0018	0.0009	0.0013	0.0025
690	0.0004	0.0013	0.0019	0.0023
691	0.0013	0.0019	0.0007	0.0024
692	0.0013	0.0006	0.0016	0.0021
693	0.0011	0.0009	0.0008	0.0016
694	0.0011	0.0004	0.0019	0.0022
695	0.0014	0.0014	0.0014	0.0024
696	0.0009	0.0006	0.0018	0.0021
697	0.0025	0.0016	0.0008	0.0031
698	0.0014	0.0003	0.0004	0.0015
699	0.0009	0.0013	0.0006	0.0017
700	0.0010	0.0003	0.0016	0.0019
701	0.0009	0.0015	0.0019	0.0026
702	0.0003	0.0012	0.0023	0.0026
703	0.0013	0.0011	0.0050	0.0053
704	0.0026	0.0008	0.0035	0.0044
705	0.0009	0.0007	0.0023	0.0025
706	0.0014	0.0011	0.0012	0.0022
707	0.0011	0.0011	0.0022	0.0027
708	0.0014	0.0010	0.0009	0.0019
709	0.0014	0.0007	0.0006	0.0017
710	0.0011	0.0009	0.0012	0.0019
711	0.0005	0.0004	0.0005	0.0008
712	0.0019	0.0022	0.0042	0.0051
713	0.0011	0.0008	0.0012	0.0018
714	0.0009	0.0005	0.0019	0.0021
715	0.0015	0.0009	0.0005	0.0018
716	0.0016	0.0014	0.0011	0.0024
717	0.0004	0.0004	0.0011	0.0012
718	0.0019	0.0013	0.0015	0.0027
719	0.0006	0.0012	0.0005	0.0014
720	0.0015	0.0005	0.0013	0.0021
721	0.0015	0.0013	0.0011	0.0023
722	0.0003	0.0016	0.0007	0.0018
723	0.0007	0.0007	0.0004	0.0011
724	0.0009	0.0018	0.0013	0.0024
725	0.0015	0.0014	0.0002	0.0021
726	0.0007	0.0011	0.0005	0.0014
727	0.0008	0.0006	0.0008	0.0013
728	0.0003	0.0003	0.0002	0.0005
729	0.0006	0.0007	0.0016	0.0018
730	0.0010	0.0004	0.0018	0.0021
731	0.0011	0.0008	0.0024	0.0028
732	0.0009	0.0013	0.0016	0.0022
733	0.0007	0.0010	0.0015	0.0019
734	0.0014	0.0007	0.0016	0.0023
735	0.0008	0.0016	0.0012	0.0021
736	0.0008	0.0006	0.0006	0.0012
737	0.0016	0.0015	0.0008	0.0024
738	0.0002	0.0005	0.0010	0.0011
739	0.0007	0.0007	0.0010	0.0014
740	0.0025	0.0007	0.0007	0.0027
741	0.0015	0.0006	0.0009	0.0018
742	0.0012	0.0010	0.0004	0.0016
743	0.0012	0.0010	0.0015	0.0022
