Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0018	0.0003	0.0005	0.0019
144	0.0007	0.0011	0.0010	0.0017
145	0.0018	0.0014	0.0019	0.0030
146	0.0006	0.0012	0.0009	0.0016
147	0.0002	0.0013	0.0010	0.0017
148	0.0002	0.0013	0.0010	0.0017
149	0.0016	0.0008	0.0030	0.0035
150	0.0568	0.0293	0.3333	0.3394
151	0.0031	0.0010	0.0007	0.0033
152	0.0026	0.0026	0.0005	0.0037
153	0.0006	0.0021	0.0012	0.0025
154	0.0007	0.0009	0.0004	0.0012
155	0.0011	0.0014	0.0019	0.0026
156	0.0006	0.0014	0.0009	0.0017
157	0.0012	0.0023	0.0009	0.0027
158	0.0017	0.0023	0.0026	0.0039
159	0.0017	0.0015	0.0017	0.0028
160	0.0012	0.0010	0.0023	0.0027
161	0.0022	0.0033	0.0012	0.0042
162	0.0019	0.0011	0.0034	0.0040
163	0.0028	0.0013	0.0011	0.0033
164	0.0017	0.0003	0.0022	0.0028
165	0.0017	0.0014	0.0012	0.0025
166	0.0008	0.0017	0.0020	0.0028
167	0.0012	0.0009	0.0035	0.0039
168	0.0007	0.0008	0.0042	0.0043
169	0.0002	0.0022	0.0018	0.0029
170	0.0023	0.0020	0.0021	0.0037
171	0.0017	0.0014	0.0007	0.0023
172	0.0009	0.0017	0.0005	0.0020
173	0.0018	0.0015	0.0007	0.0025
174	0.0011	0.0025	0.0007	0.0028
175	0.0028	0.0012	0.0014	0.0033
176	0.0034	0.0006	0.0016	0.0038
177	0.0005	0.0017	0.0032	0.0036
178	0.0008	0.0020	0.0019	0.0029
179	0.0015	0.0004	0.0009	0.0018
180	0.0006	0.0011	0.0014	0.0019
181	0.0023	0.0006	0.0008	0.0025
182	0.0015	0.0006	0.0012	0.0020
183	0.0013	0.0011	0.0025	0.0030
184	0.0011	0.0016	0.0018	0.0026
185	0.0013	0.0015	0.0014	0.0024
186	0.0013	0.0011	0.0029	0.0034
187	0.0022	0.0012	0.0009	0.0027
188	0.0021	0.0004	0.0020	0.0030
189	0.0021	0.0003	0.0012	0.0024
190	0.0012	0.0013	0.0014	0.0022
191	0.0009	0.0026	0.0018	0.0033
192	0.0011	0.0015	0.0008	0.0020
193	0.0007	0.0015	0.0002	0.0017
194	0.0016	0.0007	0.0014	0.0023
195	0.0014	0.0002	0.0019	0.0024
196	0.0013	0.0010	0.0023	0.0028
197	0.0009	0.0014	0.0017	0.0024
198	0.0008	0.0004	0.0014	0.0016
199	0.0009	0.0007	0.0015	0.0019
200	0.0010	0.0017	0.0105	0.0107
201	0.0012	0.0012	0.0004	0.0017
202	0.0011	0.0005	0.0015	0.0020
203	0.0010	0.0014	0.0007	0.0019
204	0.0023	0.0008	0.0006	0.0025
205	0.0019	0.0005	0.0018	0.0027
206	0.0010	0.0007	0.0019	0.0022
207	0.0012	0.0006	0.0021	0.0025
208	0.0015	0.0003	0.0015	0.0021
209	0.0010	0.0004	0.0015	0.0019
210	0.0005	0.0017	0.0025	0.0030
211	0.0018	0.0008	0.0010	0.0022
212	0.0016	0.0018	0.0026	0.0036
213	0.0015	0.0012	0.0018	0.0026
214	0.0013	0.0007	0.0007	0.0016
215	0.0012	0.0010	0.0016	0.0023
216	0.0011	0.0023	0.0022	0.0034
217	0.0004	0.0010	0.0019	0.0021
218	0.0002	0.0009	0.0013	0.0016
219	0.0009	0.0008	0.0025	0.0028
220	0.0008	0.0014	0.0014	0.0021
221	0.0011	0.0012	0.0005	0.0017
222	0.0026	0.0008	0.0010	0.0029
223	0.0018	0.0014	0.0021	0.0031
224	0.0013	0.0006	0.0014	0.0020
225	0.0023	0.0009	0.0015	0.0029
226	0.0004	0.0015	0.0015	0.0021
227	0.0006	0.0001	0.0015	0.0017
228	0.0007	0.0016	0.0013	0.0021
229	0.0005	0.0007	0.0003	0.0009
230	0.0019	0.0008	0.0015	0.0026
231	0.0017	0.0020	0.0036	0.0044
232	0.0009	0.0003	0.0017	0.0019
233	0.0011	0.0011	0.0006	0.0017
234	0.0011	0.0014	0.0007	0.0019
235	0.0012	0.0015	0.0004	0.0020
236	0.0004	0.0003	0.0004	0.0007
237	0.0010	0.0012	0.0005	0.0016
238	0.0008	0.0007	0.0006	0.0012
239	0.0010	0.0017	0.0016	0.0025
240	0.0009	0.0008	0.0007	0.0014
241	0.0007	0.0020	0.0001	0.0021
242	0.0006	0.0007	0.0006	0.0011
243	0.0007	0.0007	0.0008	0.0013
244	0.0004	0.0015	0.0022	0.0027
245	0.0005	0.0013	0.0011	0.0017
246	0.0010	0.0010	0.0013	0.0019
247	0.0019	0.0020	0.0024	0.0036
248	0.0010	0.0014	0.0007	0.0018
249	0.0035	0.0018	0.0019	0.0044
250	0.1472	0.0556	0.1603	0.2246
251	0.0041	0.0017	0.0017	0.0047
252	0.0022	0.0012	0.0012	0.0028
253	0.0019	0.0021	0.0007	0.0029
254	0.0035	0.0007	0.0016	0.0039
255	0.0013	0.0004	0.0007	0.0016
256	0.0013	0.0008	0.0007	0.0017
257	0.0011	0.0006	0.0004	0.0013
258	0.0008	0.0003	0.0002	0.0008
259	0.0002	0.0005	0.0020	0.0020
260	0.0002	0.0010	0.0018	0.0021
261	0.0008	0.0015	0.0009	0.0019
262	0.0015	0.0012	0.0018	0.0026
263	0.0005	0.0008	0.0017	0.0019
