Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0016	0.0027	0.0013	0.0034
144	0.0025	0.0016	0.0034	0.0045
145	0.0042	0.0011	0.0021	0.0049
146	0.0018	0.0023	0.0030	0.0042
147	0.0012	0.0018	0.0014	0.0026
148	0.0023	0.0016	0.0039	0.0048
149	0.0016	0.0022	0.0029	0.0040
150	0.0010	0.0020	0.0022	0.0031
151	0.0030	0.0003	0.0016	0.0035
152	0.0036	0.0021	0.0019	0.0046
153	0.0011	0.0024	0.0016	0.0031
154	0.0017	0.0009	0.0035	0.0039
155	0.0013	0.0009	0.0032	0.0035
156	0.0026	0.0009	0.0029	0.0040
157	0.0006	0.0014	0.0018	0.0024
158	0.0007	0.0015	0.0016	0.0023
159	0.0009	0.0012	0.0015	0.0021
160	0.0015	0.0008	0.0017	0.0024
161	0.0017	0.0015	0.0006	0.0024
162	0.0024	0.0012	0.0008	0.0028
163	0.0026	0.0017	0.0005	0.0031
164	0.0005	0.0018	0.0005	0.0019
165	0.0005	0.0009	0.0019	0.0022
166	0.0009	0.0007	0.0029	0.0031
167	0.0020	0.0020	0.0009	0.0030
168	0.0020	0.0011	0.0033	0.0041
169	0.0022	0.0012	0.0031	0.0040
170	0.0040	0.0015	0.0028	0.0051
171	0.0011	0.0017	0.0016	0.0026
172	0.0011	0.0014	0.0014	0.0023
173	0.0013	0.0008	0.0033	0.0036
174	0.0020	0.0004	0.0028	0.0035
175	0.0011	0.0019	0.0031	0.0038
176	0.0026	0.0007	0.0018	0.0033
177	0.0010	0.0003	0.0013	0.0017
178	0.0012	0.0012	0.0030	0.0035
179	0.0019	0.0009	0.0044	0.0049
180	0.0008	0.0010	0.0009	0.0016
181	0.0015	0.0015	0.0044	0.0049
182	0.0011	0.0012	0.0017	0.0024
183	0.0007	0.0007	0.0044	0.0045
184	0.0010	0.0014	0.0013	0.0022
185	0.0008	0.0017	0.0009	0.0020
186	0.0018	0.0020	0.0016	0.0031
187	0.0020	0.0019	0.0015	0.0031
188	0.0026	0.0016	0.0014	0.0034
189	0.0010	0.0013	0.0024	0.0029
190	0.0001	0.0009	0.0016	0.0018
191	0.0015	0.0011	0.0026	0.0032
192	0.0024	0.0021	0.0037	0.0049
193	0.0026	0.0021	0.0078	0.0085
194	0.0012	0.0015	0.0020	0.0028
195	0.0026	0.0008	0.0013	0.0030
196	0.0014	0.0013	0.0023	0.0030
197	0.0009	0.0011	0.0022	0.0026
198	0.0016	0.0015	0.0016	0.0027
199	0.0018	0.0010	0.0030	0.0036
200	0.0030	0.0017	0.0005	0.0034
201	0.0589	0.0104	0.1211	0.1351
202	0.0020	0.0007	0.0029	0.0036
203	0.0010	0.0020	0.0027	0.0035
204	0.0008	0.0007	0.0014	0.0018
205	0.0020	0.0008	0.0008	0.0023
206	0.0017	0.0001	0.0014	0.0023
207	0.0022	0.0009	0.0010	0.0026
208	0.0022	0.0004	0.0016	0.0028
209	0.0057	0.0016	0.0075	0.0095
210	0.0032	0.0021	0.0085	0.0093
211	0.0024	0.0008	0.0028	0.0038
212	0.0036	0.0010	0.0033	0.0050
213	0.0018	0.0021	0.0031	0.0041
214	0.0024	0.0029	0.0013	0.0040
215	0.0018	0.0012	0.0028	0.0035
216	0.0012	0.0005	0.0041	0.0043
217	0.0016	0.0007	0.0020	0.0027
218	0.0018	0.0022	0.0008	0.0029
219	0.0017	0.0001	0.0016	0.0024
220	0.0026	0.0026	0.0021	0.0043
221	0.0006	0.0014	0.0026	0.0030
222	0.0009	0.0006	0.0019	0.0022
223	0.0008	0.0008	0.0040	0.0041
224	0.0008	0.0011	0.0027	0.0030
225	0.0011	0.0014	0.0022	0.0028
226	0.0014	0.0015	0.0068	0.0071
227	0.0017	0.0007	0.0018	0.0026
228	0.0016	0.0011	0.0010	0.0022
229	0.0019	0.0004	0.0009	0.0021
230	0.0003	0.0006	0.0028	0.0029
231	0.0016	0.0014	0.0024	0.0032
232	0.0023	0.0009	0.0033	0.0042
233	0.0018	0.0001	0.0039	0.0043
234	0.0019	0.0008	0.0066	0.0069
235	0.0020	0.0005	0.0049	0.0054
236	0.0020	0.0009	0.0003	0.0022
237	0.0010	0.0018	0.0013	0.0024
238	0.0004	0.0008	0.0003	0.0009
239	0.0005	0.0016	0.0007	0.0018
240	0.0018	0.0010	0.0019	0.0028
241	0.0025	0.0004	0.0030	0.0039
242	0.0018	0.0006	0.0034	0.0039
243	0.0039	0.0020	0.0066	0.0079
244	0.0006	0.0003	0.0018	0.0019
245	0.0033	0.0009	0.0015	0.0037
246	0.0025	0.0013	0.0003	0.0029
247	0.0027	0.0008	0.0006	0.0029
248	0.0015	0.0006	0.0012	0.0021
249	0.0001	0.0019	0.0018	0.0026
250	0.0016	0.0004	0.0018	0.0024
251	0.0013	0.0009	0.0008	0.0018
252	0.0007	0.0011	0.0039	0.0041
253	0.0004	0.0016	0.0020	0.0026
254	0.0028	0.0013	0.0021	0.0037
255	0.0007	0.0003	0.0012	0.0014
256	0.0020	0.0019	0.0026	0.0038
257	0.0018	0.0007	0.0011	0.0022
258	0.0014	0.0015	0.0020	0.0028
259	0.0018	0.0009	0.0042	0.0046
260	0.0008	0.0013	0.0045	0.0048
261	0.0008	0.0008	0.0008	0.0014
262	0.0024	0.0021	0.0006	0.0032
263	0.0015	0.0017	0.0009	0.0025
264	0.0012	0.0010	0.0007	0.0017
265	0.0012	0.0012	0.0018	0.0025
266	0.0025	0.0009	0.0008	0.0028
267	0.0033	0.0027	0.0020	0.0047
268	0.0024	0.0020	0.0053	0.0062
269	0.0017	0.0010	0.0023	0.0030
270	0.0014	0.0017	0.0005	0.0022
271	0.0017	0.0013	0.0015	0.0026
272	0.0025	0.0022	0.0029	0.0045
273	0.0003	0.0005	0.0051	0.0051
274	0.0007	0.0016	0.0015	0.0023
275	0.0014	0.0011	0.0007	0.0019
276	0.0020	0.0008	0.0042	0.0047
277	0.0010	0.0012	0.0031	0.0034
278	0.0011	0.0013	0.0024	0.0029
279	0.0024	0.0031	0.0026	0.0046
280	0.0016	0.0012	0.0007	0.0021
281	0.0019	0.0005	0.0046	0.0050
282	0.0024	0.0013	0.0029	0.0040
283	0.0025	0.0009	0.0054	0.0060
284	0.0043	0.0016	0.0077	0.0090
285	0.0035	0.0016	0.0053	0.0066
286	0.0225	0.0061	0.0514	0.0564
287	0.0045	0.0015	0.0142	0.0150
288	0.0047	0.0012	0.0058	0.0075
289	0.0021	0.0009	0.0035	0.0041
290	0.0012	0.0011	0.0010	0.0019
291	0.0021	0.0012	0.0015	0.0029
292	0.0038	0.0010	0.0035	0.0052
293	0.0023	0.0013	0.0022	0.0034
294	0.0009	0.0021	0.0023	0.0033
295	0.0009	0.0004	0.0025	0.0027
296	0.0016	0.0006	0.0025	0.0030
297	0.0012	0.0009	0.0015	0.0021
298	0.0010	0.0016	0.0022	0.0029
299	0.0028	0.0006	0.0053	0.0060
300	0.0035	0.0002	0.0074	0.0082
301	0.0108	0.0022	0.0237	0.0261
302	0.0145	0.0033	0.0299	0.0334
303	0.0047	0.0017	0.0114	0.0124
304	0.0024	0.0005	0.0055	0.0060
305	0.0009	0.0008	0.0049	0.0050
306	0.0032	0.0008	0.0037	0.0049
307	0.0012	0.0011	0.0024	0.0029
308	0.0033	0.0006	0.0060	0.0069
309	0.0014	0.0010	0.0048	0.0051
310	0.0018	0.0024	0.0014	0.0033
311	0.0021	0.0002	0.0039	0.0044
312	0.0018	0.0006	0.0031	0.0036
313	0.0017	0.0002	0.0033	0.0037
314	0.0007	0.0009	0.0018	0.0021
315	0.0009	0.0007	0.0009	0.0014
316	0.0013	0.0024	0.0013	0.0030
317	0.0025	0.0006	0.0017	0.0030
318	0.0009	0.0001	0.0022	0.0024
319	0.0013	0.0015	0.0014	0.0025
320	0.0006	0.0006	0.0006	0.0010
321	0.0020	0.0007	0.0006	0.0022
322	0.0005	0.0011	0.0001	0.0012
323	0.0005	0.0013	0.0024	0.0028
324	0.0010	0.0007	0.0025	0.0028
325	0.0009	0.0007	0.0012	0.0016
326	0.0006	0.0008	0.0020	0.0022
327	0.0022	0.0028	0.0025	0.0043
328	0.0017	0.0007	0.0013	0.0023
329	0.0007	0.0006	0.0018	0.0021
330	0.0016	0.0025	0.0015	0.0034
331	0.0012	0.0002	0.0005	0.0013
332	0.0027	0.0002	0.0009	0.0029
333	0.0016	0.0001	0.0005	0.0017
334	0.0011	0.0003	0.0016	0.0020
335	0.0015	0.0016	0.0044	0.0049
