Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
143	0.0018	0.0004	0.0018	0.0026
144	0.0013	0.0007	0.0017	0.0023
145	0.0013	0.0009	0.0028	0.0033
146	0.0012	0.0005	0.0015	0.0020
147	0.0014	0.0018	0.0002	0.0023
148	0.0013	0.0019	0.0007	0.0024
149	0.0024	0.0009	0.0015	0.0030
150	0.0026	0.0008	0.0005	0.0028
151	0.0018	0.0019	0.0015	0.0031
152	0.0012	0.0008	0.0010	0.0017
153	0.0017	0.0019	0.0012	0.0028
154	0.0023	0.0008	0.0006	0.0025
155	0.0004	0.0009	0.0012	0.0015
156	0.0008	0.0015	0.0009	0.0019
157	0.0009	0.0010	0.0013	0.0019
158	0.0008	0.0060	0.0020	0.0064
159	0.0007	0.0007	0.0029	0.0031
160	0.0007	0.0021	0.0022	0.0032
161	0.0017	0.0015	0.0008	0.0024
162	0.0019	0.0008	0.0020	0.0028
163	0.0007	0.0021	0.0006	0.0023
164	0.0009	0.0016	0.0021	0.0028
165	0.0013	0.0007	0.0019	0.0024
166	0.0013	0.0011	0.0015	0.0023
167	0.0015	0.0004	0.0010	0.0019
168	0.0033	0.0014	0.0014	0.0038
169	0.0025	0.0011	0.0008	0.0028
170	0.0008	0.0005	0.0009	0.0013
171	0.0013	0.0013	0.0010	0.0021
172	0.0010	0.0017	0.0005	0.0021
173	0.0018	0.0006	0.0011	0.0022
174	0.0007	0.0021	0.0016	0.0027
175	0.0009	0.0012	0.0018	0.0024
176	0.0012	0.0021	0.0020	0.0032
177	0.0024	0.0008	0.0007	0.0026
178	0.0008	0.0011	0.0014	0.0019
179	0.0015	0.0015	0.0005	0.0022
180	0.0026	0.0039	0.0018	0.0051
181	0.0017	0.0007	0.0036	0.0040
182	0.0012	0.0004	0.0002	0.0013
183	0.0020	0.0004	0.0020	0.0028
184	0.0025	0.0004	0.0009	0.0027
185	0.0011	0.0010	0.0017	0.0022
186	0.0011	0.0010	0.0018	0.0024
187	0.0017	0.0013	0.0007	0.0022
188	0.0019	0.0026	0.0030	0.0044
189	0.0025	0.0004	0.0019	0.0032
190	0.0024	0.0002	0.0017	0.0030
191	0.0009	0.0017	0.0015	0.0025
192	0.0022	0.0010	0.0033	0.0040
193	0.0029	0.0001	0.0011	0.0031
194	0.0010	0.0006	0.0014	0.0018
195	0.0006	0.0024	0.0032	0.0040
196	0.0011	0.0011	0.0007	0.0017
197	0.0003	0.0004	0.0015	0.0016
198	0.0013	0.0011	0.0015	0.0023
199	0.0006	0.0015	0.0028	0.0032
200	0.0018	0.0003	0.0023	0.0029
201	0.0016	0.0025	0.0062	0.0068
202	0.0014	0.0013	0.0001	0.0019
203	0.0010	0.0008	0.0024	0.0027
204	0.0007	0.0012	0.0017	0.0022
205	0.0002	0.0018	0.0027	0.0032
206	0.0018	0.0014	0.0012	0.0026
207	0.0013	0.0012	0.0011	0.0021
208	0.0017	0.0020	0.0008	0.0027
209	0.0022	0.0008	0.0012	0.0026
210	0.0019	0.0020	0.0017	0.0033
211	0.0005	0.0009	0.0022	0.0024
212	0.0004	0.0008	0.0030	0.0031
213	0.0015	0.0014	0.0012	0.0024
214	0.0012	0.0013	0.0021	0.0027
215	0.0009	0.0005	0.0010	0.0014
216	0.0010	0.0004	0.0005	0.0011
217	0.0012	0.0003	0.0022	0.0025
218	0.0014	0.0008	0.0011	0.0020
219	0.0009	0.0008	0.0007	0.0014
220	0.0015	0.0011	0.0012	0.0022
221	0.0016	0.0016	0.0015	0.0027
222	0.0019	0.0006	0.0024	0.0031
223	0.0028	0.0010	0.0014	0.0033
224	0.0022	0.0004	0.0008	0.0024
225	0.0024	0.0025	0.0008	0.0035
226	0.0015	0.0008	0.0020	0.0026
227	0.0006	0.0019	0.0007	0.0021
228	0.0003	0.0008	0.0025	0.0027
229	0.0020	0.0012	0.0018	0.0029
230	0.0011	0.0017	0.0020	0.0028
231	0.0024	0.0008	0.0010	0.0027
232	0.0008	0.0025	0.0032	0.0042
233	0.0024	0.0015	0.0009	0.0029
234	0.0032	0.0026	0.0002	0.0041
235	0.0027	0.0016	0.0009	0.0033
236	0.0013	0.0018	0.0021	0.0031
237	0.0004	0.0016	0.0007	0.0017
238	0.0011	0.0022	0.0016	0.0029
239	0.0010	0.0009	0.0024	0.0027
240	0.0013	0.0018	0.0006	0.0023
241	0.0009	0.0009	0.0012	0.0018
242	0.0012	0.0001	0.0012	0.0017
243	0.0008	0.0009	0.0031	0.0033
244	0.0007	0.0015	0.0020	0.0025
245	0.0007	0.0009	0.0010	0.0015
246	0.0010	0.0008	0.0022	0.0025
247	0.0010	0.0013	0.0010	0.0019
248	0.0008	0.0016	0.0007	0.0019
249	0.0026	0.0007	0.0010	0.0029
250	0.0013	0.0009	0.0020	0.0025
251	0.0005	0.0010	0.0020	0.0023
252	0.0013	0.0004	0.0018	0.0023
253	0.0025	0.0005	0.0010	0.0027
254	0.0009	0.0016	0.0013	0.0023
255	0.0010	0.0003	0.0021	0.0023
256	0.0014	0.0015	0.0010	0.0023
257	0.0016	0.0016	0.0003	0.0023
258	0.0022	0.0014	0.0005	0.0026
259	0.0015	0.0006	0.0017	0.0024
260	0.0012	0.0018	0.0016	0.0027
261	0.0018	0.0011	0.0010	0.0023
262	0.0007	0.0006	0.0020	0.0022
263	0.0006	0.0017	0.0008	0.0020
264	0.0023	0.0006	0.0013	0.0027
265	0.0006	0.0007	0.0017	0.0020
266	0.0004	0.0013	0.0025	0.0029
267	0.0010	0.0010	0.0016	0.0021
268	0.0005	0.0008	0.0027	0.0029
269	0.0026	0.0016	0.0012	0.0033
270	0.0015	0.0004	0.0003	0.0016
271	0.0023	0.0012	0.0014	0.0029
272	0.0003	0.0009	0.0026	0.0027
273	0.0006	0.0003	0.0020	0.0021
274	0.0004	0.0009	0.0023	0.0026
275	0.0015	0.0013	0.0014	0.0024
276	0.0021	0.0013	0.0004	0.0025
277	0.0006	0.0012	0.0012	0.0018
278	0.0009	0.0004	0.0014	0.0017
279	0.0008	0.0007	0.0021	0.0024
280	0.0017	0.0007	0.0001	0.0019
281	0.0009	0.0004	0.0018	0.0020
282	0.0023	0.0009	0.0016	0.0030
283	0.0013	0.0007	0.0015	0.0021
284	0.0015	0.0029	0.0028	0.0043
285	0.0010	0.0017	0.0008	0.0021
286	0.0021	0.0018	0.0022	0.0036
287	0.0007	0.0010	0.0009	0.0015
288	0.0010	0.0013	0.0016	0.0023
289	0.0006	0.0006	0.0012	0.0015
290	0.0014	0.0016	0.0012	0.0025
291	0.0017	0.0005	0.0023	0.0029
292	0.0010	0.0012	0.0019	0.0024
293	0.0004	0.0004	0.0011	0.0012
294	0.0018	0.0007	0.0010	0.0022
295	0.0013	0.0011	0.0018	0.0025
296	0.0011	0.0005	0.0007	0.0014
297	0.0016	0.0003	0.0010	0.0019
298	0.0007	0.0013	0.0008	0.0017
