Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
311	0.0017	0.0009	0.0021	0.0029
312	0.0025	0.0002	0.0022	0.0034
313	0.0033	0.0011	0.0024	0.0042
314	0.0023	0.0021	0.0020	0.0037
315	0.0006	0.0009	0.0019	0.0022
316	0.0016	0.0003	0.0008	0.0018
317	0.0018	0.0009	0.0021	0.0030
318	0.0018	0.0014	0.0021	0.0031
319	0.0010	0.0008	0.0013	0.0019
320	0.0007	0.0004	0.0007	0.0011
321	0.0024	0.0010	0.0018	0.0032
322	0.0018	0.0012	0.0006	0.0023
323	0.0019	0.0012	0.0010	0.0025
324	0.0006	0.0009	0.0037	0.0039
325	0.0013	0.0008	0.0010	0.0019
326	0.0013	0.0014	0.0017	0.0025
327	0.0025	0.0013	0.0022	0.0036
328	0.0023	0.0011	0.0005	0.0026
329	0.0006	0.0012	0.0014	0.0020
330	0.0019	0.0007	0.0032	0.0038
331	0.0018	0.0021	0.0017	0.0032
332	0.0011	0.0024	0.0015	0.0030
333	0.0018	0.0016	0.0009	0.0026
334	0.0011	0.0010	0.0009	0.0017
335	0.0012	0.0010	0.0030	0.0034
336	0.0020	0.0004	0.0007	0.0021
337	0.0016	0.0007	0.0025	0.0030
338	0.0006	0.0022	0.0019	0.0030
339	0.0006	0.0005	0.0007	0.0010
340	0.0005	0.0018	0.0005	0.0019
341	0.0018	0.0004	0.0023	0.0029
342	0.0006	0.0013	0.0010	0.0017
343	0.0016	0.0006	0.0012	0.0021
344	0.0037	0.0015	0.0036	0.0054
345	0.0027	0.0011	0.0057	0.0064
346	0.0012	0.0013	0.0011	0.0021
347	0.0004	0.0017	0.0003	0.0018
348	0.0029	0.0007	0.0028	0.0041
349	0.0012	0.0005	0.0019	0.0023
350	0.0012	0.0023	0.0010	0.0028
351	0.0009	0.0018	0.0028	0.0035
352	0.0018	0.0003	0.0015	0.0024
353	0.0016	0.0007	0.0002	0.0018
354	0.0016	0.0010	0.0032	0.0037
355	0.0023	0.0011	0.0010	0.0028
356	0.0020	0.0011	0.0009	0.0025
357	0.0028	0.0014	0.0006	0.0032
358	0.0012	0.0015	0.0031	0.0036
359	0.0009	0.0005	0.0032	0.0033
360	0.0010	0.0005	0.0017	0.0021
361	0.0025	0.0022	0.0007	0.0034
362	0.0011	0.0023	0.0035	0.0043
363	0.0027	0.0016	0.0055	0.0063
364	0.0008	0.0012	0.0023	0.0027
365	0.0011	0.0010	0.0011	0.0018
366	0.0008	0.0017	0.0018	0.0027
367	0.0001	0.0002	0.0012	0.0012
368	0.0017	0.0019	0.0027	0.0037
369	0.0031	0.0005	0.0038	0.0049
370	0.0027	0.0007	0.0010	0.0030
371	0.0038	0.0010	0.0027	0.0048
372	0.0010	0.0010	0.0012	0.0019
373	0.0014	0.0003	0.0021	0.0026
374	0.0021	0.0016	0.0045	0.0052
375	0.0008	0.0009	0.0004	0.0012
376	0.0017	0.0014	0.0016	0.0027
377	0.0019	0.0013	0.0029	0.0037
378	0.0018	0.0003	0.0011	0.0021
379	0.0017	0.0006	0.0014	0.0023
380	0.0015	0.0011	0.0013	0.0023
381	0.0015	0.0007	0.0015	0.0022
382	0.0006	0.0010	0.0011	0.0016
383	0.0008	0.0010	0.0013	0.0019
384	0.0007	0.0010	0.0011	0.0016
385	0.0007	0.0020	0.0031	0.0038
386	0.0016	0.0010	0.0009	0.0021
387	0.0016	0.0005	0.0030	0.0035
388	0.0011	0.0005	0.0004	0.0013
389	0.0008	0.0014	0.0032	0.0036
390	0.0010	0.0016	0.0019	0.0027
391	0.0017	0.0017	0.0020	0.0032
392	0.0009	0.0001	0.0018	0.0020
393	0.0024	0.0005	0.0017	0.0029
394	0.0023	0.0009	0.0028	0.0038
395	0.0024	0.0018	0.0038	0.0048
396	0.0007	0.0008	0.0019	0.0022
397	0.0050	0.0003	0.0066	0.0083
398	0.0018	0.0010	0.0014	0.0025
399	0.0022	0.0007	0.0028	0.0036
400	0.0020	0.0013	0.0039	0.0046
401	0.0028	0.0011	0.0042	0.0052
402	0.0123	0.0030	0.0279	0.0307
403	0.0025	0.0013	0.0030	0.0042
404	0.0002	0.0008	0.0010	0.0013
405	0.0011	0.0010	0.0037	0.0040
406	0.0024	0.0006	0.0040	0.0047
407	0.0020	0.0004	0.0062	0.0065
408	0.0031	0.0020	0.0059	0.0070
409	0.0026	0.0016	0.0035	0.0047
410	0.0005	0.0005	0.0005	0.0009
411	0.0025	0.0010	0.0023	0.0035
412	0.0032	0.0003	0.0015	0.0036
413	0.0001	0.0012	0.0004	0.0012
414	0.0014	0.0025	0.0038	0.0048
415	0.0013	0.0006	0.0020	0.0024
416	0.0016	0.0006	0.0015	0.0023
417	0.0014	0.0003	0.0044	0.0046
418	0.0006	0.0005	0.0013	0.0015
419	0.0018	0.0012	0.0015	0.0026
420	0.0018	0.0004	0.0013	0.0022
421	0.0007	0.0006	0.0013	0.0016
422	0.0025	0.0016	0.0012	0.0032
423	0.0015	0.0003	0.0017	0.0023
424	0.0014	0.0023	0.0009	0.0028
425	0.0012	0.0003	0.0014	0.0018
426	0.0007	0.0007	0.0013	0.0016
427	0.0008	0.0009	0.0012	0.0017
428	0.0008	0.0013	0.0018	0.0024
429	0.0016	0.0015	0.0011	0.0025
430	0.0012	0.0004	0.0022	0.0026
431	0.0023	0.0015	0.0010	0.0029
432	0.0005	0.0011	0.0011	0.0016
433	0.0009	0.0004	0.0002	0.0010
434	0.0015	0.0009	0.0034	0.0039
435	0.0012	0.0002	0.0015	0.0019
436	0.0013	0.0014	0.0015	0.0024
437	0.0013	0.0008	0.0007	0.0017
438	0.0020	0.0019	0.0016	0.0032
439	0.0014	0.0004	0.0020	0.0025
440	0.0020	0.0011	0.0022	0.0032
441	0.0027	0.0013	0.0016	0.0034
442	0.0015	0.0012	0.0010	0.0022
443	0.0010	0.0014	0.0009	0.0020
444	0.0004	0.0009	0.0006	0.0011
445	0.0020	0.0006	0.0004	0.0022
446	0.0023	0.0007	0.0032	0.0040
447	0.0019	0.0011	0.0035	0.0042
448	0.0013	0.0009	0.0014	0.0021
449	0.0006	0.0008	0.0020	0.0022
450	0.0012	0.0010	0.0014	0.0021
451	0.0025	0.0009	0.0008	0.0028
452	0.0005	0.0017	0.0018	0.0025
453	0.0014	0.0005	0.0030	0.0033
454	0.0011	0.0015	0.0006	0.0020
455	0.0007	0.0007	0.0024	0.0026
456	0.0001	0.0010	0.0011	0.0015
457	0.0021	0.0010	0.0015	0.0027
458	0.0011	0.0016	0.0010	0.0022
459	0.0017	0.0003	0.0041	0.0044
460	0.0015	0.0016	0.0023	0.0031
461	0.0002	0.0008	0.0012	0.0015
462	0.0031	0.0007	0.0006	0.0032
463	0.0021	0.0011	0.0023	0.0033
464	0.0008	0.0003	0.0012	0.0015
465	0.0018	0.0018	0.0022	0.0034
466	0.0028	0.0016	0.0020	0.0038
467	0.0005	0.0006	0.0012	0.0014
468	0.0008	0.0009	0.0013	0.0018
469	0.0007	0.0018	0.0012	0.0023
470	0.0009	0.0003	0.0030	0.0031
471	0.0009	0.0004	0.0007	0.0012
472	0.0008	0.0004	0.0031	0.0032
473	0.0010	0.0007	0.0005	0.0013
474	0.0017	0.0012	0.0009	0.0023
475	0.0003	0.0019	0.0023	0.0029
476	0.0009	0.0015	0.0009	0.0020
477	0.0012	0.0012	0.0020	0.0026
