Frequency [Hz]	 X-Axis [uT]	Y-Axis [uT]	Z-Axis [uT]	Total [uT]
0	-81.5294	56.6425	13.6714	100.2114
1	0.2780	0.3874	0.3475	0.5900
2	0.3912	0.6681	0.5138	0.9292
3	0.3014	0.2874	0.1436	0.4405
4	0.2186	0.4990	0.0562	0.5477
5	0.0498	0.1320	0.1658	0.2177
6	0.0813	0.1515	0.0376	0.1760
7	0.1614	0.1716	0.1037	0.2574
8	0.1000	0.1945	0.1317	0.2553
9	0.1588	0.2778	0.1811	0.3676
10	0.2673	0.2834	0.6376	0.7472
11	0.2686	0.2242	0.2080	0.4071
12	0.0972	0.0526	0.0667	0.1291
13	0.1447	0.1569	0.0232	0.2147
14	0.0945	0.0851	0.0235	0.1293
15	0.1140	0.1392	0.0346	0.1832
16	0.0656	0.0994	0.1039	0.1580
17	0.0935	0.0369	0.2582	0.2771
18	0.0593	0.0435	0.0680	0.1002
19	0.0651	0.0273	0.0354	0.0790
20	0.0649	0.0304	0.0612	0.0942
21	0.0656	0.0643	0.1340	0.1625
22	0.0600	0.0343	0.0650	0.0948
23	0.0416	0.0285	0.0375	0.0628
24	0.0540	0.0249	0.0318	0.0674
25	0.0477	0.0192	0.0294	0.0592
26	0.0481	0.0171	0.0279	0.0582
27	0.0205	0.0432	0.0337	0.0585
28	0.0548	0.0092	0.0419	0.0696
29	0.0164	0.0935	0.0671	0.1163
30	0.0375	0.0483	0.0236	0.0656
31	0.0418	0.0384	0.0572	0.0806
32	0.0300	0.0214	0.0066	0.0374
33	0.0498	0.0184	0.0240	0.0583
34	0.0702	0.0370	0.0371	0.0876
35	0.0434	0.0250	0.0209	0.0542
36	0.0335	0.0170	0.0141	0.0401
37	0.0259	0.0397	0.0244	0.0533
38	0.0324	0.0166	0.0176	0.0405
39	0.0279	0.0204	0.0054	0.0350
40	0.0268	0.0087	0.0160	0.0324
41	0.0150	0.0205	0.0118	0.0280
42	0.0294	0.0267	0.0079	0.0404
43	0.0239	0.0393	0.0109	0.0473
44	0.0242	0.0161	0.0097	0.0306
45	0.0268	0.0172	0.0089	0.0330
46	0.0179	0.0266	0.0067	0.0328
47	0.0218	0.0141	0.0105	0.0280
48	0.0234	0.0111	0.0035	0.0262
49	0.0220	0.0123	0.0090	0.0267
50	0.0248	0.0083	0.0208	0.0334
51	0.0328	0.0195	0.0146	0.0409
52	0.0118	0.0288	0.0081	0.0321
53	0.0189	0.0266	0.0054	0.0331
54	0.0835	0.0960	0.0641	0.1425
55	0.0224	0.0458	0.0146	0.0530
56	0.0225	0.0268	0.0181	0.0394
57	0.0213	0.0597	0.0215	0.0670
58	0.0182	0.0284	0.0238	0.0413
59	0.0197	0.0248	0.0224	0.0388
60	0.0185	0.0249	0.0163	0.0350
61	0.0222	0.0038	0.0090	0.0243
62	0.0114	0.0077	0.0088	0.0163
63	0.0138	0.0109	0.0108	0.0206
64	0.0168	0.0181	0.0089	0.0263
65	0.0160	0.0085	0.0073	0.0195
66	0.0165	0.0113	0.0109	0.0228
67	0.0331	0.0174	0.0419	0.0561
68	0.0149	0.0098	0.0071	0.0192
69	0.0138	0.0057	0.0065	0.0163
70	0.0129	0.0059	0.0077	0.0161
71	0.0114	0.0127	0.0042	0.0175
72	0.0121	0.0093	0.0048	0.0160
73	0.0174	0.0134	0.0039	0.0223
74	0.0181	0.0403	0.0065	0.0446
75	0.0159	0.0060	0.0053	0.0178
76	0.0129	0.0082	0.0045	0.0160
77	0.0134	0.0093	0.0034	0.0167
78	0.0134	0.0017	0.0047	0.0143
79	0.0141	0.0147	0.0045	0.0209
80	0.0121	0.0111	0.0018	0.0166
81	0.0120	0.0093	0.0061	0.0163
82	0.0118	0.0062	0.0050	0.0143
83	0.0153	0.0070	0.0037	0.0172
84	0.0135	0.0110	0.0125	0.0214
85	0.0125	0.0208	0.0118	0.0270
86	0.0098	0.0377	0.0224	0.0449
87	0.0169	0.0276	0.0067	0.0331
88	0.0103	0.0066	0.0039	0.0128
89	0.0125	0.0049	0.0058	0.0146
90	0.0135	0.0168	0.0082	0.0231
91	0.0162	0.0133	0.0083	0.0225
92	0.0119	0.0184	0.0104	0.0243
93	0.0128	0.0058	0.0036	0.0145
94	0.0170	0.0078	0.0049	0.0194
95	0.0039	0.0109	0.0053	0.0127
96	0.0155	0.0146	0.0012	0.0213
97	0.0202	0.0051	0.0091	0.0228
98	0.0183	0.0063	0.0066	0.0205
99	0.0301	0.0055	0.0155	0.0343
100	0.0849	0.0154	0.0524	0.1009
101	0.0646	0.0047	0.0453	0.0790
102	0.0236	0.0093	0.0175	0.0308
103	0.0164	0.0052	0.0080	0.0189
104	0.0125	0.0063	0.0089	0.0165
105	0.0106	0.0082	0.0044	0.0142
106	0.0053	0.0057	0.0089	0.0118
107	0.0061	0.0083	0.0068	0.0123
108	0.0062	0.0066	0.0042	0.0099
109	0.0094	0.0006	0.0102	0.0139
110	0.0062	0.0044	0.0042	0.0087
111	0.0132	0.0282	0.0036	0.0313
112	0.0149	0.0113	0.0087	0.0206
113	0.0119	0.0146	0.0091	0.0209
114	0.0102	0.0188	0.0100	0.0237
115	0.0135	0.0342	0.0104	0.0382
116	0.0030	0.0176	0.0043	0.0183
117	0.0061	0.0061	0.0020	0.0089
118	0.0096	0.0109	0.0018	0.0147
119	0.0100	0.0044	0.0017	0.0111
120	0.0066	0.0032	0.0039	0.0083
121	0.0050	0.0005	0.0006	0.0050
122	0.0070	0.0050	0.0047	0.0098
123	0.0050	0.0065	0.0024	0.0085
124	0.0072	0.0064	0.0006	0.0096
125	0.0087	0.0018	0.0043	0.0099
126	0.0090	0.0109	0.0040	0.0147
127	0.0063	0.0031	0.0060	0.0092
128	0.0077	0.0017	0.0034	0.0086
129	0.0061	0.0137	0.0034	0.0154
130	0.0061	0.0009	0.0042	0.0074
131	0.0081	0.0079	0.0014	0.0114
132	0.0078	0.0070	0.0018	0.0106
133	0.0062	0.0041	0.0033	0.0082
134	0.0200	0.0081	0.0060	0.0224
135	0.0050	0.0026	0.0048	0.0074
136	0.0068	0.0017	0.0026	0.0075
137	0.0094	0.0061	0.0018	0.0113
138	0.0108	0.0144	0.0047	0.0186
139	0.0030	0.0031	0.0037	0.0057
140	0.0048	0.0046	0.0033	0.0074
141	0.0077	0.0076	0.0046	0.0118
142	0.0064	0.0041	0.0034	0.0084
143	0.0029	0.0076	0.0033	0.0088
144	0.0078	0.0042	0.0007	0.0089
145	0.0069	0.0024	0.0027	0.0078
146	0.0054	0.0113	0.0020	0.0127
147	0.0056	0.0014	0.0052	0.0078
148	0.0076	0.0075	0.0072	0.0129
149	0.0077	0.0040	0.0015	0.0088
150	0.0069	0.0101	0.0027	0.0126
